layer,probe,mean_r2,std_r2,best_lr,best_wd
0,velocity_xy,0.7463464691699399,0.03238756141596032,0.003,0.01
1,velocity_xy,0.8314809369050444,0.028193902634230644,0.003,0.01
2,velocity_xy,0.8706567666442154,0.021460969730321668,0.003,0.01
3,velocity_xy,0.8681242023687238,0.019286645045129475,0.003,0.01
4,velocity_xy,0.8932942316174097,0.012141219883367188,0.003,0.01
5,velocity_xy,0.9362464726217503,0.005334018759051501,0.003,0.1
6,velocity_xy,0.9489735906821256,0.005292602390877377,0.003,0.1
7,velocity_xy,0.9638398611733059,0.005802865755078011,0.005,0.1
8,velocity_xy,0.9836344585962541,0.0024674364202104987,0.005,0.1
9,velocity_xy,0.9858540652101467,0.0023596473124432404,0.005,0.1
10,velocity_xy,0.9884915982570274,0.001365793289451046,0.005,0.1
11,velocity_xy,0.9891021667732485,0.0008283817215027236,0.005,0.1
12,velocity_xy,0.9864913988727269,0.0015520927611729451,0.005,0.1
13,velocity_xy,0.986304179841909,0.002614032222281757,0.005,0.1
14,velocity_xy,0.9846530287538403,0.001360026384176483,0.005,0.1
15,velocity_xy,0.9829408773704825,0.0021657566737290283,0.005,0.1
16,velocity_xy,0.9819625756018345,0.002117648027844548,0.005,0.1
17,velocity_xy,0.9821390672391566,0.001805898679067741,0.005,0.1
18,velocity_xy,0.9833117274316606,0.001611958230583681,0.005,0.01
19,velocity_xy,0.980574906614305,0.002518829900855867,0.005,0.01
20,velocity_xy,0.9827658151118952,0.002169480410947326,0.005,0.1
21,velocity_xy,0.9819605161572028,0.003714307511818926,0.005,0.01
22,velocity_xy,0.9827414826203306,0.00257674649194098,0.005,0.01
23,velocity_xy,0.9813776686444875,0.003470146053964535,0.005,0.01
0,acceleration_xy,0.6524693083278779,0.023967638229079286,0.001,0.1
1,acceleration_xy,0.7922875854378771,0.026428495514632704,0.0003,0.01
2,acceleration_xy,0.8394905825493117,0.031127265443341486,0.003,0.01
3,acceleration_xy,0.8360430049572889,0.021281937951539737,0.003,0.1
4,acceleration_xy,0.8493987798590303,0.020925497269018996,0.003,0.1
5,acceleration_xy,0.9397511061110109,0.013412318253184978,0.001,0.8
6,acceleration_xy,0.934071032968116,0.009517350442309521,0.003,0.4
7,acceleration_xy,0.946781767184009,0.007827644361414032,0.003,0.1
8,acceleration_xy,0.9765657344839891,0.0019476658672480122,0.005,0.1
9,acceleration_xy,0.9768693088033166,0.002939281867832833,0.005,0.1
10,acceleration_xy,0.9769150643750326,0.0021141724447074116,0.005,0.1
11,acceleration_xy,0.9837562836762552,0.0012396519740766104,0.005,0.1
12,acceleration_xy,0.9806823938001912,0.0019298336123611962,0.005,0.1
13,acceleration_xy,0.9803792617339205,0.001380420588006926,0.005,0.1
14,acceleration_xy,0.980750267131517,0.003003362956358511,0.005,0.1
15,acceleration_xy,0.9780497513955794,0.0034286507524040246,0.005,0.1
16,acceleration_xy,0.9774493390975699,0.0024147127218370466,0.005,0.1
17,acceleration_xy,0.979698204675054,0.0031209114905047354,0.005,0.1
18,acceleration_xy,0.976753314844409,0.0038816868121375153,0.005,0.1
19,acceleration_xy,0.9784307720270731,0.0036081916377324586,0.005,0.1
20,acceleration_xy,0.9791293223976796,0.00344975699150252,0.005,0.1
21,acceleration_xy,0.9836744017885847,0.0029437268915994286,0.005,0.1
22,acceleration_xy,0.9796835467147332,0.003157651563970423,0.005,0.1
23,acceleration_xy,0.9779912191231404,0.00397847708714563,0.005,0.01
