layer,probe,mean_r2,std_r2,best_lr,best_wd
0,speed,0.7652369290590286,0.021694557789843145,0.005,0.01
1,speed,0.7450979292392731,0.04422766759003984,0.003,0.01
2,speed,0.8373196810483933,0.04748668343660734,0.003,0.01
3,speed,0.9021089009940624,0.030747460848741776,0.003,0.1
4,speed,0.9238192453980446,0.019914608163532018,0.005,0.01
5,speed,0.9280713897198438,0.021955190470134365,0.003,0.1
6,speed,0.926794296503067,0.01942436604304363,0.005,0.1
7,speed,0.9296849973499774,0.01728606825124552,0.001,0.1
8,speed,0.952461976930499,0.010654398898266294,0.003,0.1
9,speed,0.96910315528512,0.005897108890299801,0.003,0.1
10,speed,0.9757750552147627,0.002495863868951596,0.003,0.4
11,speed,0.9769493170082569,0.003652436191616385,0.003,0.1
12,speed,0.9810806218534708,0.0037997282306842317,0.003,0.1
13,speed,0.9820668790489435,0.002350833116255693,0.003,0.1
14,speed,0.9831499144434929,0.002552306944420174,0.003,0.1
15,speed,0.9839673932641745,0.003225885382775872,0.005,0.1
16,speed,0.9858689364045858,0.0012367082322201322,0.005,0.4
17,speed,0.9876711556687952,0.0006907069615859416,0.003,0.4
18,speed,0.9881179748103023,0.001559450200933061,0.003,0.4
19,speed,0.9887412590906024,0.0016136317214859883,0.003,0.4
20,speed,0.9902302511967719,0.001770731293219155,0.001,0.4
21,speed,0.9906202362850308,0.0017262289884822438,0.003,0.4
22,speed,0.9896127006039024,0.0026097853217702154,0.003,0.4
23,speed,0.9901260084472596,0.0025787346497740866,0.003,0.4
24,speed,0.9910296592861414,0.0017682838430689884,0.005,0.4
25,speed,0.99034962952137,0.001312085684141288,0.005,0.4
26,speed,0.9899014502763748,0.001380913003898106,0.005,0.4
27,speed,0.990267637372017,0.001669373916118501,0.003,0.4
28,speed,0.9904434840194881,0.0022201146630882627,0.003,0.4
29,speed,0.9909244356676936,0.0012939004081255442,0.003,0.4
30,speed,0.9914891282096505,0.0013833528192211781,0.003,0.4
31,speed,0.9913033230230213,0.0021451062972657835,0.005,0.1
32,speed,0.9898862869478762,0.0020676983318824514,0.005,0.1
33,speed,0.9897200375795364,0.0021543262726823405,0.005,0.1
34,speed,0.9889225350692868,0.0021340281387364417,0.005,0.4
35,speed,0.9896530211903155,0.002272428616044044,0.005,0.4
36,speed,0.9900976696051658,0.0018699608176392139,0.005,0.1
37,speed,0.9892477812245488,0.0017972073980699948,0.005,0.1
38,speed,0.9889723857864737,0.0015530321210175102,0.005,0.1
39,speed,0.9886048732325434,0.0015320912769400644,0.003,0.1
0,direction,0.6661553263664246,0.04153613786129838,0.001,0.01
1,direction,0.7411250293254852,0.020383669455253287,0.003,0.01
2,direction,0.8264725357294083,0.01508378282636894,0.003,0.1
3,direction,0.9115662559866905,0.005566808484280662,0.001,0.1
4,direction,0.9175278499722481,0.009022195167097936,0.003,0.1
5,direction,0.9367975018918514,0.006212293346357524,0.001,0.1
6,direction,0.9475061215460301,0.0024754937602817985,0.005,0.1
7,direction,0.9507648430764675,0.0030798224543949087,0.005,0.1
8,direction,0.9572809636592865,0.001984651689190222,0.003,0.1
9,direction,0.9754392638802528,0.0035968903832152223,0.005,0.1
10,direction,0.9745258539915085,0.004339530439762461,0.003,0.1
11,direction,0.9732628583908081,0.003982600046500872,0.003,0.1
12,direction,0.973301836848259,0.00343246413045017,0.003,0.1
13,direction,0.9729456592351198,0.0039460116729900805,0.005,0.1
14,direction,0.9725831024348736,0.003747634970421454,0.005,0.1
15,direction,0.97716282941401,0.004080114104136549,0.003,0.1
16,direction,0.9757742922753095,0.0041242870211586295,0.003,0.1
17,direction,0.9870141124352813,0.0008729383043823819,0.005,0.1
18,direction,0.9878041898831725,0.0009143711802546721,0.005,0.1
19,direction,0.9889678539708256,0.0004404183177830412,0.005,0.1
20,direction,0.9893084775656462,0.0005241825926959334,0.003,0.1
21,direction,0.9905568158254028,0.0009808330562194073,0.005,0.1
22,direction,0.9906954200938344,0.0010305372070769428,0.005,0.1
23,direction,0.9885112190619111,0.0016906983139477708,0.005,0.1
24,direction,0.9870451813563704,0.0019342752007091063,0.005,0.1
25,direction,0.9891103757545352,0.0007186882916084709,0.005,0.1
26,direction,0.9889131424948573,0.0009781998305698884,0.003,0.1
27,direction,0.9873966347426176,0.0020582344403444123,0.003,0.1
28,direction,0.9859484730288386,0.001479826416488032,0.003,0.1
29,direction,0.9895477738231421,0.0011579141639528276,0.003,0.1
30,direction,0.9916095400229097,0.0009171314195266188,0.005,0.1
31,direction,0.9917556398548186,0.000975635490850699,0.005,0.1
32,direction,0.9891541190445423,0.0011750691671238939,0.005,0.1
33,direction,0.9867801018059253,0.0019675228726019453,0.005,0.1
34,direction,0.9871259063482285,0.00166722000699878,0.003,0.1
35,direction,0.9897285867482424,0.0007411746494331313,0.005,0.1
36,direction,0.9902787698432803,0.0008495822336155245,0.005,0.1
37,direction,0.9902461851015687,0.0007115634654377163,0.003,0.1
38,direction,0.9899429589509964,0.0011620133070366573,0.005,0.1
39,direction,0.9907010653987527,0.0012205231943879858,0.005,0.1
