layer,probe,mean_r2,std_r2,best_lr,best_wd
0,speed,0.9500200599431992,0.011728510365908707,0.001,0.01
1,speed,0.9386331714689732,0.03281247740773436,0.005,0.01
2,speed,0.9448359213769436,0.010414620454052066,0.003,0.01
3,speed,0.9453939743340015,0.01124947831527776,0.005,0.01
4,speed,0.9563120357692242,0.007230090920047516,0.003,0.1
5,speed,0.9764825731515885,0.006369430449751505,0.005,0.4
6,speed,0.9783892799168825,0.006638311685332091,0.005,0.4
7,speed,0.9854193884879351,0.003290125277949249,0.005,0.4
8,speed,0.991579076461494,0.0012431377970041461,0.005,0.1
9,speed,0.9913836122490466,0.001301291585747018,0.005,0.1
10,speed,0.9916002893820405,0.0012328884432173427,0.005,0.4
11,speed,0.9927772141061724,0.001915352796731243,0.005,0.1
12,speed,0.9937369612045586,0.0010877309684778657,0.005,0.1
13,speed,0.9936414699070155,0.0013451731642524596,0.005,0.1
14,speed,0.9932049165479839,0.0014856510964182622,0.005,0.1
15,speed,0.9935912092216312,0.0009952314006375618,0.005,0.1
16,speed,0.9936264377087355,0.0008290499934339708,0.005,0.1
17,speed,0.9930612747557461,0.0008150969209969406,0.005,0.1
18,speed,0.9935075439512729,0.0010767593674459095,0.005,0.1
19,speed,0.9933252340182662,0.00040635165418521647,0.005,0.1
20,speed,0.9934049322269857,0.0010694065748430635,0.005,0.1
21,speed,0.9921082439832389,0.0014842102935930493,0.005,0.1
22,speed,0.9917849414050579,0.001845812787468919,0.005,0.1
23,speed,0.9906559715047478,0.0016750553952636455,0.005,0.1
0,direction,0.6914928793907166,0.02419766487210204,0.003,0.1
1,direction,0.8643295288085937,0.015405043471693528,0.005,0.01
2,direction,0.9160448431968689,0.007112106713662667,0.003,0.01
3,direction,0.9330753400921822,0.0071381501614487305,0.003,0.01
4,direction,0.957876593619585,0.004624612707599897,0.003,0.1
5,direction,0.9696477368474007,0.002439169143049416,0.003,0.1
6,direction,0.9724140621721744,0.0043009569542398615,0.003,0.1
7,direction,0.9828283911570906,0.00349608619195643,0.003,0.1
8,direction,0.9925253338180482,0.0008830256562317078,0.005,0.1
9,direction,0.993142556399107,0.0007253786265350241,0.005,0.1
10,direction,0.9943005229346454,0.000328946127898261,0.005,0.1
11,direction,0.9934728463180363,0.001022411667394599,0.005,0.1
12,direction,0.9938206646591425,0.0005555124318922124,0.005,0.1
13,direction,0.9941925416700542,0.00045537041051318315,0.005,0.1
14,direction,0.9944149508140981,0.0008728372196876957,0.005,0.1
15,direction,0.994751442130655,0.0006607427886801692,0.005,0.1
16,direction,0.9945601125247776,0.0006501070710402922,0.005,0.1
17,direction,0.9951685320585966,0.0006364456803151486,0.005,0.1
18,direction,0.9952972248196602,0.0005144377455461195,0.005,0.1
19,direction,0.9945746954530478,0.0007993705864973511,0.005,0.1
20,direction,0.9946449785493314,0.0008979966214673169,0.005,0.1
21,direction,0.9958323075436055,0.00062000850319047,0.005,0.1
22,direction,0.9954137981403619,0.0007350470886154259,0.005,0.1
23,direction,0.9953652274329216,0.0007169061111015071,0.005,0.01
0,acceleration,0.9447033822536468,0.014263325721280008,0.003,0.01
1,acceleration,0.924178920686245,0.014079250752751677,0.005,0.01
2,acceleration,0.9396216548979283,0.012041822856979693,0.005,0.01
3,acceleration,0.9126931399106979,0.009287516403860423,0.005,0.1
4,acceleration,0.9364599540829659,0.005302318717374151,0.003,0.1
5,acceleration,0.9690796572715044,0.006179659170160406,0.003,0.1
6,acceleration,0.9718488037586213,0.0058430660032837796,0.005,0.4
7,acceleration,0.9766870807856322,0.006438618307317679,0.005,0.4
8,acceleration,0.9837234403938055,0.00299061709783267,0.001,0.4
9,acceleration,0.9844916550442576,0.002941494557403954,0.005,0.8
10,acceleration,0.9840037969872355,0.004032756754793117,0.005,0.8
11,acceleration,0.9865116653963923,0.0018298986246451298,0.005,0.4
12,acceleration,0.9871597964316606,0.003355108212180547,0.005,0.1
13,acceleration,0.987392824422568,0.004531849448536102,0.005,0.4
14,acceleration,0.9884206896647811,0.0026133146823743318,0.005,0.4
15,acceleration,0.9886656608432531,0.002311745846055938,0.005,0.4
16,acceleration,0.9898343745619058,0.0017839844824323815,0.005,0.1
17,acceleration,0.9879826936870814,0.000837191257042268,0.005,0.1
18,acceleration,0.9898087875917554,0.0023353553566340195,0.005,0.1
19,acceleration,0.989984518662095,0.002433395887401035,0.005,0.1
20,acceleration,0.9890112914144993,0.003036470312546521,0.005,0.1
21,acceleration,0.9870737142860889,0.0023598710545667066,0.005,0.1
22,acceleration,0.9864071846008301,0.0019014122142096315,0.005,0.1
23,acceleration,0.9855630695819855,0.0029921791324651254,0.005,0.1
