layer,probe,mean_r2,std_r2,best_lr,best_wd
0,speed,0.18601346047607276,0.07919604915760334,0.001,0.1
1,speed,0.8675369716352617,0.05672461827283783,0.001,0.1
2,speed,0.7259557598591139,0.1468681181902124,0.001,0.1
3,speed,0.8578655638423527,0.06203674831055642,0.001,0.1
4,speed,0.8189735124336057,0.10056416176156423,0.001,0.1
5,speed,0.8914222147779082,0.05250919719209629,0.001,0.1
6,speed,0.9275383414796297,0.03138302118687165,0.001,0.1
7,speed,0.9346254273915705,0.025033003501105596,0.001,0.1
8,speed,0.9484316604223896,0.008563998398518402,0.001,0.1
9,speed,0.9335959042453066,0.02667712290630922,0.001,0.1
10,speed,0.9322632986088054,0.046977037061422394,0.001,0.1
11,speed,0.9221359191327756,0.03828453311311008,0.001,0.1
12,speed,0.9117239843776406,0.050845563443483066,0.001,0.1
13,speed,0.9116391823520025,0.040875446773662324,0.001,0.1
14,speed,0.8893990281474771,0.04071118583620154,0.001,0.1
15,speed,0.9051890091701199,0.046640460341423384,0.001,0.1
16,speed,0.9158216056464759,0.05056314369550737,0.001,0.1
17,speed,0.8919439584383072,0.06598242480579523,0.001,0.1
18,speed,0.916639796523968,0.03480245166542607,0.001,0.1
19,speed,0.9065514482498066,0.046027496211805276,0.001,0.1
20,speed,0.9182296041315154,0.07158070347724839,0.001,0.1
21,speed,0.9252649461024613,0.041186153951361514,0.001,0.1
22,speed,0.9306017857037496,0.04002764383742629,0.001,0.1
23,speed,0.878518634663471,0.10038349858886206,0.001,0.1
0,direction,0.0,0.0,0.001,0.1
1,direction,0.0,0.0,0.001,0.1
2,direction,0.0,0.0,0.001,0.1
3,direction,0.0,0.0,0.001,0.1
4,direction,0.0,0.0,0.001,0.1
5,direction,0.0,0.0,0.001,0.1
6,direction,0.0,0.0,0.001,0.1
7,direction,0.0,0.0,0.001,0.1
8,direction,0.0,0.0,0.001,0.1
9,direction,0.0,0.0,0.001,0.1
10,direction,0.0,0.0,0.001,0.1
11,direction,0.0,0.0,0.001,0.1
12,direction,0.0,0.0,0.001,0.1
13,direction,0.0,0.0,0.001,0.1
14,direction,0.0,0.0,0.001,0.1
15,direction,0.0,0.0,0.001,0.1
16,direction,0.0,0.0,0.001,0.1
17,direction,0.0,0.0,0.001,0.1
18,direction,0.0,0.0,0.001,0.1
19,direction,0.0,0.0,0.001,0.1
20,direction,0.0,0.0,0.001,0.1
21,direction,0.0,0.0,0.001,0.1
22,direction,0.0,0.0,0.001,0.1
23,direction,0.0,0.0,0.001,0.1
0,acceleration,-0.06599023844365583,0.1277754334244574,0.001,0.1
1,acceleration,0.7712517605009417,0.1033679385969793,0.001,0.1
2,acceleration,0.7630272113597247,0.11165306918132427,0.001,0.1
3,acceleration,0.8059909140304933,0.12235243772797653,0.001,0.1
4,acceleration,0.7702961856997504,0.09984291850728075,0.001,0.1
5,acceleration,0.8272814897979803,0.051814135902679095,0.001,0.1
6,acceleration,0.8779984029043973,0.06420912951266307,0.001,0.1
7,acceleration,0.9237710880376742,0.01849475101646089,0.001,0.1
8,acceleration,0.9219516805152433,0.02490829741570283,0.001,0.1
9,acceleration,0.9059800757421332,0.06785478531319197,0.001,0.1
10,acceleration,0.9470254296512983,0.01378024806030457,0.001,0.1
11,acceleration,0.8956814239779973,0.06827536761698512,0.001,0.1
12,acceleration,0.8162620971948766,0.06610332707551554,0.001,0.1
13,acceleration,0.9179145972042844,0.038111260509732986,0.001,0.1
14,acceleration,0.8948363552303069,0.04463125848046745,0.001,0.1
15,acceleration,0.9324044368842342,0.040508899872262645,0.001,0.1
16,acceleration,0.9067850507391607,0.06354876588238048,0.001,0.1
17,acceleration,0.9180076415599697,0.04177629434561808,0.001,0.1
18,acceleration,0.9082257353116442,0.03456101351266187,0.001,0.1
19,acceleration,0.8973565728180932,0.04894374116472952,0.001,0.1
20,acceleration,0.9119243753821719,0.04128877787654755,0.001,0.1
21,acceleration,0.8960488127031313,0.03777917210834558,0.001,0.1
22,acceleration,0.8876675004747049,0.04585255358847355,0.001,0.1
23,acceleration,0.871005426619007,0.051332573138563695,0.001,0.1
