layer,probe,mean_r2,std_r2,best_lr,best_wd
0,speed,0.22690566629171371,0.08996295880870002,0.005,0.8
1,speed,0.9366202272940427,0.024361577385761658,0.001,0.01
2,speed,0.9179993472062051,0.020439934000043868,0.005,0.01
3,speed,0.9227941979188472,0.03079152507914174,0.003,0.01
4,speed,0.9390245974063873,0.0221752218553784,0.005,0.1
5,speed,0.9456437926273793,0.01756749372013057,0.003,0.4
6,speed,0.9745252982247621,0.00818281183717975,0.005,0.4
7,speed,0.9751516932155937,0.00742794669065777,0.005,0.4
8,speed,0.9815877538640052,0.005996762363842678,0.005,0.4
9,speed,0.9869351310189813,0.004205479555824315,0.005,0.4
10,speed,0.9856146275997162,0.00406984010973163,0.005,0.4
11,speed,0.9873140648705885,0.00479545639717495,0.005,0.8
12,speed,0.9896597516490147,0.004188504006721835,0.005,0.4
13,speed,0.9888000297360122,0.0028523135568852644,0.005,0.4
14,speed,0.9891864298260771,0.0028095541271775794,0.005,0.4
15,speed,0.9889228204265237,0.004609338527213995,0.005,0.1
16,speed,0.9852610374800861,0.006095356155844039,0.005,0.8
17,speed,0.9890960415941663,0.00468607150317399,0.005,0.4
18,speed,0.9889859221875668,0.004019964534200746,0.005,0.1
19,speed,0.9887033704435453,0.0068285551749479026,0.005,0.1
20,speed,0.9904123923042789,0.005827428448222379,0.005,0.4
21,speed,0.9879291508696042,0.00526274612319454,0.005,0.1
22,speed,0.9855298145557754,0.005338067356608311,0.005,0.1
23,speed,0.9841740512638353,0.007306245773002283,0.005,0.4
0,direction,-3747432628223.5,3754855499509.088,0.0001,0.01
1,direction,-1277686431743.5,1329256423718.437,0.0001,0.01
2,direction,-637028671487.5,671911245412.8025,0.0001,0.01
3,direction,-309921611775.5,314531056271.05206,0.0001,0.01
4,direction,-304741380095.5,317211751088.67883,0.0001,0.01
5,direction,-207042682879.5,209432805449.78732,0.0001,0.01
6,direction,-109942781951.5,111403291227.34566,0.0001,0.01
7,direction,-101539540991.5,105149559839.96844,0.0001,0.01
8,direction,-54473423871.5,55764918320.67183,0.0001,0.01
9,direction,-34790328831.5,37095473441.92341,0.0001,0.01
10,direction,-33680528383.5,36276279941.09158,0.0001,0.01
11,direction,-23606584831.5,23908489808.926247,0.0001,0.01
12,direction,-56356311039.5,60461869728.70528,0.0001,0.01
13,direction,-47678767103.5,49048355588.89721,0.0001,0.01
14,direction,-26753745663.5,28513194527.77762,0.0001,0.01
15,direction,-23859609087.5,25604662776.189144,0.0001,0.01
16,direction,-25640291327.5,27622668057.182323,0.0001,0.01
17,direction,-27599566847.5,30035506569.86563,0.0001,0.01
18,direction,-26775326719.5,28353535261.233326,0.0001,0.01
19,direction,-39238929407.5,39652842562.10427,0.0001,0.01
20,direction,-50549629951.5,51354737609.011314,0.0001,0.01
21,direction,-51517212671.5,52193095435.3229,0.0001,0.01
22,direction,-46031765503.5,52413162982.701996,0.0001,0.01
23,direction,-59227505663.5,63200955975.02076,0.0001,0.01
0,acceleration,-0.0228642076253891,0.11702108914153264,0.0001,0.8
1,acceleration,0.9371887580491602,0.023527185227312727,0.003,0.01
2,acceleration,0.9032229273580015,0.037011695835502754,0.005,0.01
3,acceleration,0.9177570380270481,0.0292912191252937,0.005,0.1
4,acceleration,0.8983366088941693,0.03156499910761357,0.005,0.8
5,acceleration,0.9275079104118049,0.014895045711020016,0.005,0.4
6,acceleration,0.9542508074082434,0.01292730769030854,0.005,0.4
7,acceleration,0.9612219533883035,0.008649292669584287,0.005,0.4
8,acceleration,0.9715558199677616,0.005308562349738541,0.005,0.4
9,acceleration,0.9805747212376446,0.006974853085449578,0.005,0.4
10,acceleration,0.9851024236995727,0.0026239927176680217,0.005,0.1
11,acceleration,0.9794200577307492,0.008191548292563475,0.005,0.8
12,acceleration,0.9815728389658034,0.011634773879454106,0.005,0.4
13,acceleration,0.9829431639518589,0.00929015250753611,0.005,0.1
14,acceleration,0.9818853959441185,0.012719724634016173,0.005,0.4
15,acceleration,0.9879188896738924,0.004393421474663998,0.003,0.1
16,acceleration,0.9854600975522771,0.0035094732374106245,0.005,0.8
17,acceleration,0.9874192856950685,0.0031321075415156768,0.005,0.8
18,acceleration,0.9862087294459343,0.0035663297026528804,0.005,0.8
19,acceleration,0.9818044945131987,0.005114263087516283,0.005,0.8
20,acceleration,0.980169716058299,0.006691403183312677,0.005,0.8
21,acceleration,0.984635895001702,0.005015125546585938,0.005,0.1
22,acceleration,0.9785660476190969,0.006870795932902016,0.005,0.1
23,acceleration,0.9822236153995618,0.004764317557449873,0.005,0.1
