layer,probe,mean_r2,std_r2,best_lr,best_wd
0,speed,0.1300967382435949,0.10355760476520295,0.001,0.1
1,speed,0.9180851747191042,0.009965299888700024,0.001,0.1
2,speed,0.8508713733832574,0.05103267964171329,0.001,0.1
3,speed,0.9008175093669044,0.020552035237701504,0.001,0.1
4,speed,0.8801612222383343,0.041175505751062165,0.001,0.1
5,speed,0.9323466206397674,0.009441395579325895,0.001,0.1
6,speed,0.9529016789941736,0.00868785172082648,0.001,0.1
7,speed,0.9623961463106323,0.008317448087703521,0.001,0.1
8,speed,0.9683605427638712,0.005699425879057582,0.001,0.1
9,speed,0.9804459110725683,0.003974124291527212,0.001,0.1
10,speed,0.9778624901799432,0.004767394701216784,0.001,0.1
11,speed,0.9481524555534346,0.047673702083320516,0.001,0.1
12,speed,0.9566191562812376,0.03428991124095656,0.001,0.1
13,speed,0.9813641333196399,0.004538192965690712,0.001,0.1
14,speed,0.9704036588745953,0.02115949202084879,0.001,0.1
15,speed,0.9761053415086675,0.006413700065878596,0.001,0.1
16,speed,0.9548830454439534,0.03690833040296746,0.001,0.1
17,speed,0.9479222235061711,0.04493260138879553,0.001,0.1
18,speed,0.972782929589458,0.01421724634829942,0.001,0.1
19,speed,0.9545295630245443,0.04076102197664974,0.001,0.1
20,speed,0.9577960630091447,0.045886555731925543,0.001,0.1
21,speed,0.9774276599246063,0.012546001906999801,0.001,0.1
22,speed,0.9200531693726182,0.06372017507707192,0.001,0.1
23,speed,0.9565049591241129,0.03338904240861018,0.001,0.1
0,direction,-0.05770554573503708,0.06747987694467569,0.001,0.1
1,direction,0.5888038108507077,0.06995003473562872,0.001,0.1
2,direction,0.749845313664188,0.04227075809261097,0.001,0.1
3,direction,0.8264626011444433,0.02617595155692971,0.001,0.1
4,direction,0.8416099524819742,0.017794234240461546,0.001,0.1
5,direction,0.9173687020237515,0.0073507429704001365,0.001,0.1
6,direction,0.9507712094240535,0.004152744305034899,0.001,0.1
7,direction,0.9426300611861734,0.02305044261404519,0.001,0.1
8,direction,0.9652891168082556,0.0031598996638066558,0.001,0.1
9,direction,0.978579569596184,0.0024195723967977496,0.001,0.1
10,direction,0.9795846649881605,0.002091126982814948,0.001,0.1
11,direction,0.9802098295349433,0.0010480294609524362,0.001,0.1
12,direction,0.9817031277807964,0.0014763257042361372,0.001,0.1
13,direction,0.9825047516082115,0.0031140258300918783,0.001,0.1
14,direction,0.9822683169295194,0.0024949779733443875,0.001,0.1
15,direction,0.9827386685780336,0.0008486237844607441,0.001,0.1
16,direction,0.9837434931192002,0.0014679107967316366,0.001,0.1
17,direction,0.977911267731176,0.013796812561421139,0.001,0.1
18,direction,0.9865579448499162,0.001634331752382172,0.001,0.1
19,direction,0.952269795154838,0.06742413062820787,0.001,0.1
20,direction,0.9838572913124295,0.0009237959497356472,0.001,0.1
21,direction,0.9841243568221657,0.002456642849494058,0.001,0.1
22,direction,0.9811250705647515,0.012779935293271892,0.001,0.1
23,direction,0.9869377463388943,0.0013389334410888382,0.001,0.1
0,acceleration,-0.08943114359005411,0.08729826684741913,0.001,0.1
1,acceleration,0.8106338851582944,0.03910862387812102,0.001,0.1
2,acceleration,0.7745249987329459,0.07174816319345757,0.001,0.1
3,acceleration,0.8242897023077852,0.05389437049175584,0.001,0.1
4,acceleration,0.8531288270934795,0.010235550612708508,0.001,0.1
5,acceleration,0.8383888067264618,0.06274014172640277,0.001,0.1
6,acceleration,0.924144698607806,0.01070594446597645,0.001,0.1
7,acceleration,0.9376346769747705,0.004888964768810459,0.001,0.1
8,acceleration,0.9381168676485603,0.01694465442362393,0.001,0.1
9,acceleration,0.9648551248598061,0.008969061461782975,0.001,0.1
10,acceleration,0.9598466002447144,0.017274800599066647,0.001,0.1
11,acceleration,0.9147946487113611,0.07351187624176432,0.001,0.1
12,acceleration,0.8854654184457591,0.07438994187810614,0.001,0.1
13,acceleration,0.9657267248347857,0.009652076121541205,0.001,0.1
14,acceleration,0.9420626224247919,0.03891188771966722,0.001,0.1
15,acceleration,0.9604972697524135,0.007652669109114125,0.001,0.1
16,acceleration,0.9525252201574563,0.022539208105526457,0.001,0.1
17,acceleration,0.8790842001823472,0.024679608095622214,0.001,0.1
18,acceleration,0.9018345615032534,0.06874801330234324,0.001,0.1
19,acceleration,0.8726954214059566,0.029667352124653337,0.001,0.1
20,acceleration,0.9125830854546392,0.03601663147827787,0.001,0.1
21,acceleration,0.8874898457217633,0.05462468264100633,0.001,0.1
22,acceleration,0.8875898392440617,0.02514185806298395,0.001,0.1
23,acceleration,0.8992678604496597,0.035803952533297614,0.001,0.1
