layer,probe,mean_r2,std_r2,best_lr,best_wd
0,speed,0.1727693706673677,0.029852003769612542,0.001,0.1
1,speed,0.9232849979542805,0.007239922026690135,0.001,0.1
2,speed,0.8452991584085658,0.042670942848423925,0.001,0.1
3,speed,0.8921489060239534,0.020053193997758765,0.001,0.1
4,speed,0.9018670537485385,0.01759999926907545,0.001,0.1
5,speed,0.9314124142418455,0.017706371704422196,0.001,0.1
6,speed,0.9546995143186809,0.01365484023222085,0.001,0.1
7,speed,0.9538980431316402,0.020735642439065265,0.001,0.1
8,speed,0.9480092355246045,0.03116211340042462,0.001,0.1
9,speed,0.9743442222663425,0.005377203998698975,0.001,0.1
10,speed,0.9679914007210598,0.011014748834386495,0.001,0.1
11,speed,0.9752684246528979,0.004358298076454983,0.001,0.1
12,speed,0.9707340243570057,0.012454303389175265,0.001,0.1
13,speed,0.9725714110178372,0.011443188258170787,0.001,0.1
14,speed,0.9641005397196898,0.013934983186329283,0.001,0.1
15,speed,0.9388045503213588,0.016004278766126617,0.001,0.1
16,speed,0.9691568077158472,0.014434443625409842,0.001,0.1
17,speed,0.9584439727996023,0.04243214462440864,0.001,0.1
18,speed,0.9781477065299032,0.005019502690244523,0.001,0.1
19,speed,0.9789966188020823,0.003284380397050587,0.001,0.1
20,speed,0.9780702094992751,0.00377438007462757,0.001,0.1
21,speed,0.9815658322713473,0.003135044640019051,0.001,0.1
22,speed,0.9810467907935136,0.003136868265519,0.001,0.1
23,speed,0.9686093663056875,0.02402237270269437,0.001,0.1
0,direction,-0.02001801311630569,0.03933121623605436,0.001,0.1
1,direction,0.638014248301088,0.022283830086233754,0.001,0.1
2,direction,0.7999820821732542,0.0227184173415395,0.001,0.1
3,direction,0.8704933881039313,0.01872359166737435,0.001,0.1
4,direction,0.8819897537880788,0.012703536408153443,0.001,0.1
5,direction,0.9269197634651455,0.0038896928162971663,0.001,0.1
6,direction,0.9483650506230539,0.01539651169194287,0.001,0.1
7,direction,0.9454804678227958,0.024129553223950245,0.001,0.1
8,direction,0.9627313483292269,0.012819365197240713,0.001,0.1
9,direction,0.9812361347743591,0.0060502964086973825,0.001,0.1
10,direction,0.9811446003625388,0.006024394915909965,0.001,0.1
11,direction,0.983937273919332,0.0015801032247229094,0.001,0.1
12,direction,0.9817828608602419,0.002224465932304957,0.001,0.1
13,direction,0.9789558235581357,0.008429795374873301,0.001,0.1
14,direction,0.9587210412307637,0.049811737979481324,0.001,0.1
15,direction,0.9776428767165315,0.00784021868933147,0.001,0.1
16,direction,0.9831250227046,0.002412387842885153,0.001,0.1
17,direction,0.9584420086787386,0.03821194867354248,0.001,0.1
18,direction,0.9770951104669553,0.0178879632071091,0.001,0.1
19,direction,0.9848691704146901,0.0024417246899419306,0.001,0.1
20,direction,0.9842142522698282,0.0011457726969677673,0.001,0.1
21,direction,0.9827533673164733,0.003651863477883888,0.001,0.1
22,direction,0.9881538166473902,0.0010197097553394892,0.001,0.1
23,direction,0.9874060714315138,0.001839119624263331,0.001,0.1
0,acceleration,-0.09661102026664728,0.0950174445974346,0.001,0.1
1,acceleration,0.8535046874196242,0.05431194283498345,0.001,0.1
2,acceleration,0.8253756830288055,0.05289099539466608,0.001,0.1
3,acceleration,0.8658695822692254,0.02936848755036084,0.001,0.1
4,acceleration,0.8337911665336144,0.044407491143159825,0.001,0.1
5,acceleration,0.9062770857388884,0.02144057113252463,0.001,0.1
6,acceleration,0.9340549762252234,0.018860184419685063,0.001,0.1
7,acceleration,0.9417663077372161,0.008252587609446934,0.001,0.1
8,acceleration,0.9414508691533576,0.01480090394839492,0.001,0.1
9,acceleration,0.9527546135714019,0.03413819472021805,0.001,0.1
10,acceleration,0.9711627181909034,0.005146070248959157,0.001,0.1
11,acceleration,0.9154885496950069,0.07032026928548464,0.001,0.1
12,acceleration,0.8373072320660722,0.0394615058504973,0.001,0.1
13,acceleration,0.9538894230919144,0.029085081776658396,0.001,0.1
14,acceleration,0.9608992979913499,0.01839070579361291,0.001,0.1
15,acceleration,0.9571564248708713,0.011850670575940137,0.001,0.1
16,acceleration,0.9505195180867329,0.04384866042423629,0.001,0.1
17,acceleration,0.8940165872730406,0.047340557500282196,0.001,0.1
18,acceleration,0.9403003089838142,0.043459524225707785,0.001,0.1
19,acceleration,0.8746533672034342,0.020331192247754155,0.001,0.1
20,acceleration,0.9199414862446817,0.03358329702061604,0.001,0.1
21,acceleration,0.9197843574049989,0.04310692017440944,0.001,0.1
22,acceleration,0.873566691033108,0.05181862954797834,0.001,0.1
23,acceleration,0.859786074436174,0.05652496722975267,0.001,0.1
