layer,probe,mean_r2,std_r2,best_lr,best_wd
0,speed,0.24299669081285388,0.0883694604066195,0.001,0.1
1,speed,0.9311056298934179,0.0032564371089684515,0.001,0.1
2,speed,0.891418749565027,0.016337705332051342,0.001,0.1
3,speed,0.9159578787647792,0.01428297471254632,0.001,0.1
4,speed,0.8788228264690862,0.03958009981100163,0.001,0.1
5,speed,0.9339370619897125,0.00907400182710093,0.001,0.1
6,speed,0.9439212152600674,0.018313208009962164,0.001,0.1
7,speed,0.9635030960357286,0.005865396048198412,0.001,0.1
8,speed,0.9559896047384326,0.030804564585865873,0.001,0.1
9,speed,0.9781103428512197,0.004831268327863697,0.001,0.1
10,speed,0.966065214717324,0.0264991952174698,0.001,0.1
11,speed,0.9537294670500526,0.022710380607787673,0.001,0.1
12,speed,0.9426265507428875,0.048390374302098436,0.001,0.1
13,speed,0.9793714781840273,0.003461879392312411,0.001,0.1
14,speed,0.9646627789922497,0.01448164699513614,0.001,0.1
15,speed,0.9707265622074184,0.010592232436554478,0.001,0.1
16,speed,0.9736296040400528,0.011847484902764492,0.001,0.1
17,speed,0.9543203421142887,0.029016882579804937,0.001,0.1
18,speed,0.9643807056137368,0.03458325259021137,0.001,0.1
19,speed,0.972658294844811,0.009002057917468163,0.001,0.1
20,speed,0.9704439831493754,0.009072679570675196,0.001,0.1
21,speed,0.9789526993345004,0.002875697904375048,0.001,0.1
22,speed,0.9327856651622695,0.06649806332379501,0.001,0.1
23,speed,0.9313875189667291,0.07133957926938957,0.001,0.1
0,direction,0.06306069724028687,0.046078753622467154,0.001,0.1
1,direction,0.6444633450117866,0.03502724217628109,0.001,0.1
2,direction,0.796404533100992,0.013970724589764448,0.001,0.1
3,direction,0.8456786879483766,0.013641182544747957,0.001,0.1
4,direction,0.8668217737736515,0.011968937816632125,0.001,0.1
5,direction,0.9242791668568552,0.008193488591722066,0.001,0.1
6,direction,0.9362653217084004,0.023783427259381873,0.001,0.1
7,direction,0.9526428900525137,0.00425453215380611,0.001,0.1
8,direction,0.9588675583727113,0.008690213734677111,0.001,0.1
9,direction,0.9796733487235368,0.0025916345878076504,0.001,0.1
10,direction,0.9796502688121441,0.0015778650836522422,0.001,0.1
11,direction,0.9737651705099198,0.013493655825039112,0.001,0.1
12,direction,0.9798917668358446,0.0028476453082924317,0.001,0.1
13,direction,0.9810610205812755,0.0002032915464883403,0.001,0.1
14,direction,0.9305562057020333,0.056422129327320374,0.001,0.1
15,direction,0.9671395468792543,0.02080659054629436,0.001,0.1
16,direction,0.9732088529384517,0.01701789538127977,0.001,0.1
17,direction,0.9721676081394828,0.01432565206481848,0.001,0.1
18,direction,0.9860669293090542,0.0013290031495981312,0.001,0.1
19,direction,0.982597460819623,0.0021825560757969377,0.001,0.1
20,direction,0.9828969318971199,0.0018656346289745883,0.001,0.1
21,direction,0.9831482384523698,0.0024407643550205813,0.001,0.1
22,direction,0.967399236708304,0.017150952812311798,0.001,0.1
23,direction,0.9815094705355808,0.007300817830878731,0.001,0.1
0,acceleration,-0.09137291719930248,0.10149079860685013,0.001,0.1
1,acceleration,0.8368263690539101,0.045359356155390655,0.001,0.1
2,acceleration,0.7127496098145217,0.07862187420673224,0.001,0.1
3,acceleration,0.8635448787755469,0.027185783227571734,0.001,0.1
4,acceleration,0.8330394705630301,0.04086585828441565,0.001,0.1
5,acceleration,0.8829118795703291,0.0241228982173072,0.001,0.1
6,acceleration,0.9190217993115928,0.01922748040062458,0.001,0.1
7,acceleration,0.9015672108509335,0.02431175419290875,0.001,0.1
8,acceleration,0.926988274706176,0.018697482830392895,0.001,0.1
9,acceleration,0.965086492211175,0.004623407505695879,0.001,0.1
10,acceleration,0.9406380441835301,0.030195386672917466,0.001,0.1
11,acceleration,0.9323065473849763,0.055682600959158446,0.001,0.1
12,acceleration,0.9183318476913993,0.028502803423483127,0.001,0.1
13,acceleration,0.9559477163067805,0.014361967131193568,0.001,0.1
14,acceleration,0.9566581017552839,0.010395192244844477,0.001,0.1
15,acceleration,0.9525330543551389,0.024881329344243343,0.001,0.1
16,acceleration,0.9428093185265112,0.029933894482723915,0.001,0.1
17,acceleration,0.876339152231876,0.012203400343369697,0.001,0.1
18,acceleration,0.8680450536658043,0.020256875726820736,0.001,0.1
19,acceleration,0.8949140927394221,0.020994762451837793,0.001,0.1
20,acceleration,0.9171126292441627,0.030230731689693348,0.001,0.1
21,acceleration,0.9003938647462212,0.03761019389430315,0.001,0.1
22,acceleration,0.884776354141094,0.042318859914822655,0.001,0.1
23,acceleration,0.8897704039953048,0.03608345445715071,0.001,0.1
