layer,probe,mean_r2,std_r2,best_lr,best_wd
0,speed,0.15058016977449115,0.10828916878996088,0.001,0.1
1,speed,0.9313953179859279,0.013993045447991497,0.001,0.1
2,speed,0.8630877889581512,0.05295243272691869,0.001,0.1
3,speed,0.8998163347462528,0.01655286906276971,0.001,0.1
4,speed,0.9017537365264529,0.02095389852678755,0.001,0.1
5,speed,0.933347431012605,0.010313146841808004,0.001,0.1
6,speed,0.9582811087287035,0.00802023958104058,0.001,0.1
7,speed,0.9597281598457016,0.0056676221162457775,0.001,0.1
8,speed,0.9723287344420599,0.005872685285687518,0.001,0.1
9,speed,0.9777020719220667,0.005434475996102266,0.001,0.1
10,speed,0.9785778045998267,0.004896035271325424,0.001,0.1
11,speed,0.9310888302122539,0.03165190936069529,0.001,0.1
12,speed,0.9352746759031284,0.04829720314318333,0.001,0.1
13,speed,0.974779379433761,0.010520339332570112,0.001,0.1
14,speed,0.9789568236503859,0.0017133214368465707,0.001,0.1
15,speed,0.9686802783447345,0.007924591153115354,0.001,0.1
16,speed,0.9665937426448453,0.018000285442106932,0.001,0.1
17,speed,0.9536985078843456,0.03971297911304444,0.001,0.1
18,speed,0.9555662533361564,0.03853102810212283,0.001,0.1
19,speed,0.9403350410770003,0.03508980968467104,0.001,0.1
20,speed,0.9547909362714352,0.0467682068676224,0.001,0.1
21,speed,0.9790642417775135,0.004693833779667137,0.001,0.1
22,speed,0.9520088029034399,0.03626899707277174,0.001,0.1
23,speed,0.9657515522235178,0.032476919342007804,0.001,0.1
0,direction,0.01754694210776675,0.03530979292591456,0.001,0.1
1,direction,0.6041146291238135,0.06351471882148106,0.001,0.1
2,direction,0.7811882822146389,0.01827509463040535,0.001,0.1
3,direction,0.8429313568929191,0.017589527463235798,0.001,0.1
4,direction,0.8603336422530463,0.012318809106031966,0.001,0.1
5,direction,0.9200034325923759,0.007782420717118539,0.001,0.1
6,direction,0.9314611017793325,0.01974841392317495,0.001,0.1
7,direction,0.9426799693330541,0.016180929101603337,0.001,0.1
8,direction,0.9625387408617406,0.003141914335748924,0.001,0.1
9,direction,0.9776060218647548,0.00459001968501207,0.001,0.1
10,direction,0.9785140573630521,0.0014825585425593101,0.001,0.1
11,direction,0.9768816293361846,0.001718419583319521,0.001,0.1
12,direction,0.979464908155974,0.0015036351633245892,0.001,0.1
13,direction,0.9707564289596791,0.016300484716537438,0.001,0.1
14,direction,0.9357916717723995,0.05250230851892732,0.001,0.1
15,direction,0.9820239453120928,0.0010038138230848727,0.001,0.1
16,direction,0.9572857141334945,0.05115050015831535,0.001,0.1
17,direction,0.9571680001505178,0.03920141622429288,0.001,0.1
18,direction,0.9605980688432394,0.034511876906526004,0.001,0.1
19,direction,0.9832335515868378,0.0013977796256448342,0.001,0.1
20,direction,0.9513366551999279,0.05767409902845909,0.001,0.1
21,direction,0.9817138155303187,0.0037032598782706125,0.001,0.1
22,direction,0.9677385008986358,0.015837296536404907,0.001,0.1
23,direction,0.9838355803651195,0.002814659667691946,0.001,0.1
0,acceleration,-0.08171177050207572,0.1036856261863733,0.001,0.1
1,acceleration,0.8471396055765824,0.040587129699462,0.001,0.1
2,acceleration,0.778970968341117,0.0682843283538185,0.001,0.1
3,acceleration,0.8388606282936445,0.06845751844960586,0.001,0.1
4,acceleration,0.8168579777142095,0.03468993504737202,0.001,0.1
5,acceleration,0.8745673981910459,0.04553529040661427,0.001,0.1
6,acceleration,0.9036279343489302,0.032179569937490056,0.001,0.1
7,acceleration,0.9323926606718554,0.005678936577656623,0.001,0.1
8,acceleration,0.9361993124993926,0.012242514577605175,0.001,0.1
9,acceleration,0.9621025579922493,0.014165545743777602,0.001,0.1
10,acceleration,0.9582322974423716,0.013245802782241167,0.001,0.1
11,acceleration,0.9521283568505836,0.009333644067012578,0.001,0.1
12,acceleration,0.8883871433222433,0.058302926940890204,0.001,0.1
13,acceleration,0.9573279802777777,0.008009362860571065,0.001,0.1
14,acceleration,0.958379166070005,0.014944170478050781,0.001,0.1
15,acceleration,0.96039612973413,0.015534719106515184,0.001,0.1
16,acceleration,0.9354468853873639,0.0292734674007108,0.001,0.1
17,acceleration,0.8735015822411519,0.011919066336747948,0.001,0.1
18,acceleration,0.883400856995215,0.034739227351436676,0.001,0.1
19,acceleration,0.883966478744623,0.01682610480767953,0.001,0.1
20,acceleration,0.8833041498962547,0.03373202873310537,0.001,0.1
21,acceleration,0.9303456020643814,0.041943221534094646,0.001,0.1
22,acceleration,0.901841662522228,0.050175066873102143,0.001,0.1
23,acceleration,0.874811017500047,0.04529719559102074,0.001,0.1
