run_name,variable,layer,layer_fraction,r2_mean,r2_std,best_lr_mode,best_wd_mode,grouping,direction_target,residual_capture,preprocessing,feature_root
ablate_residual_capture_post_gpu,speed,0,0.0,0.9500200600477825,0.01172851082416379,0.001,0.01,position,sincos,resid_post,resize,/home/solee/pez/archive_pre_rewrite_260417/artifacts/features
ablate_residual_capture_post_gpu,speed,1,0.043478260869565216,0.9386331711375118,0.032812480933901114,0.005,0.01,position,sincos,resid_post,resize,/home/solee/pez/archive_pre_rewrite_260417/artifacts/features
ablate_residual_capture_post_gpu,speed,2,0.08695652173913043,0.9448359224971756,0.010414619435488355,0.003,0.01,position,sincos,resid_post,resize,/home/solee/pez/archive_pre_rewrite_260417/artifacts/features
ablate_residual_capture_post_gpu,speed,3,0.13043478260869565,0.945393972029134,0.011249479121555122,0.005,0.01,position,sincos,resid_post,resize,/home/solee/pez/archive_pre_rewrite_260417/artifacts/features
ablate_residual_capture_post_gpu,speed,4,0.17391304347826086,0.9563120344391317,0.007230092796168053,0.003,0.1,position,sincos,resid_post,resize,/home/solee/pez/archive_pre_rewrite_260417/artifacts/features
ablate_residual_capture_post_gpu,speed,5,0.21739130434782608,0.9764825734589646,0.006369429538480624,0.005,0.4,position,sincos,resid_post,resize,/home/solee/pez/archive_pre_rewrite_260417/artifacts/features
ablate_residual_capture_post_gpu,speed,6,0.2608695652173913,0.9783892806596098,0.0066383109229667045,0.005,0.4,position,sincos,resid_post,resize,/home/solee/pez/archive_pre_rewrite_260417/artifacts/features
ablate_residual_capture_post_gpu,speed,7,0.30434782608695654,0.9854193887691747,0.0032901246927937067,0.005,0.4,position,sincos,resid_post,resize,/home/solee/pez/archive_pre_rewrite_260417/artifacts/features
ablate_residual_capture_post_gpu,speed,8,0.34782608695652173,0.9915790763767808,0.0012431377713578574,0.005,0.1,position,sincos,resid_post,resize,/home/solee/pez/archive_pre_rewrite_260417/artifacts/features
ablate_residual_capture_post_gpu,speed,9,0.391304347826087,0.9913836123481262,0.0013012917815220246,0.005,0.1,position,sincos,resid_post,resize,/home/solee/pez/archive_pre_rewrite_260417/artifacts/features
ablate_residual_capture_post_gpu,speed,10,0.43478260869565216,0.9916002895260325,0.0012328882622775687,0.005,0.4,position,sincos,resid_post,resize,/home/solee/pez/archive_pre_rewrite_260417/artifacts/features
ablate_residual_capture_post_gpu,speed,11,0.4782608695652174,0.9927772138728119,0.001915353249069962,0.005,0.1,position,sincos,resid_post,resize,/home/solee/pez/archive_pre_rewrite_260417/artifacts/features
ablate_residual_capture_post_gpu,speed,12,0.5217391304347826,0.9937369608249869,0.0010877311871250975,0.005,0.1,position,sincos,resid_post,resize,/home/solee/pez/archive_pre_rewrite_260417/artifacts/features
ablate_residual_capture_post_gpu,speed,13,0.5652173913043478,0.9936414699764317,0.00134517297528095,0.005,0.1,position,sincos,resid_post,resize,/home/solee/pez/archive_pre_rewrite_260417/artifacts/features
ablate_residual_capture_post_gpu,speed,14,0.6086956521739131,0.9932049166280171,0.0014856511730458168,0.005,0.1,position,sincos,resid_post,resize,/home/solee/pez/archive_pre_rewrite_260417/artifacts/features
ablate_residual_capture_post_gpu,speed,15,0.6521739130434783,0.9935912091613807,0.0009952315151253242,0.005,0.1,position,sincos,resid_post,resize,/home/solee/pez/archive_pre_rewrite_260417/artifacts/features
