run_name,variable,layer,layer_fraction,r2_mean,r2_std,best_lr_mode,best_wd_mode,grouping,direction_target,residual_capture,preprocessing,solver,probe_set,norm_mode,feature_root
fig2b_iter23_velocity_residpost_tlastpatch_magsector_center,velocity_xy,0,0.0,0.5265291537186682,0.082703489685675,0.005,0.01,magnitude_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,center,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter23_velocity_residpost_tlastpatch_magsector_center,velocity_xy,1,0.043478260869565216,0.5715040057706527,0.08557443140292906,0.005,0.01,magnitude_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,center,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter23_velocity_residpost_tlastpatch_magsector_center,velocity_xy,2,0.08695652173913043,0.6228163467696302,0.0596060638040752,0.005,0.01,magnitude_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,center,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter23_velocity_residpost_tlastpatch_magsector_center,velocity_xy,3,0.13043478260869565,0.621524570708344,0.0650523140318247,0.005,0.01,magnitude_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,center,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter23_velocity_residpost_tlastpatch_magsector_center,velocity_xy,4,0.17391304347826086,0.6543208686813801,0.062349020475194465,0.005,0.01,magnitude_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,center,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter23_velocity_residpost_tlastpatch_magsector_center,velocity_xy,5,0.21739130434782608,0.7193797791167919,0.06184309884612999,0.005,0.01,magnitude_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,center,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter23_velocity_residpost_tlastpatch_magsector_center,velocity_xy,6,0.2608695652173913,0.7464411037583454,0.05714542747011155,0.005,0.01,magnitude_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,center,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter23_velocity_residpost_tlastpatch_magsector_center,velocity_xy,7,0.30434782608695654,0.7798503263097859,0.061448644600897905,0.005,0.01,magnitude_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,center,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter23_velocity_residpost_tlastpatch_magsector_center,velocity_xy,8,0.34782608695652173,0.9077936561515999,0.03433747459186652,0.005,0.01,magnitude_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,center,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter23_velocity_residpost_tlastpatch_magsector_center,velocity_xy,9,0.391304347826087,0.9240088706420202,0.029375935563148794,0.005,0.01,magnitude_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,center,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter23_velocity_residpost_tlastpatch_magsector_center,velocity_xy,10,0.43478260869565216,0.9231983919048522,0.02836993873219485,0.005,0.01,magnitude_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,center,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter23_velocity_residpost_tlastpatch_magsector_center,velocity_xy,11,0.4782608695652174,0.9205712207465313,0.025010367647936946,0.005,0.01,magnitude_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,center,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter23_velocity_residpost_tlastpatch_magsector_center,velocity_xy,12,0.5217391304347826,0.9259377718578117,0.02356163886833194,0.005,0.01,magnitude_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,center,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter23_velocity_residpost_tlastpatch_magsector_center,velocity_xy,13,0.5652173913043478,0.9252620098275781,0.023481091095865148,0.005,0.01,magnitude_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,center,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter23_velocity_residpost_tlastpatch_magsector_center,velocity_xy,14,0.6086956521739131,0.9232451316406773,0.027343138412965547,0.005,0.01,magnitude_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,center,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter23_velocity_residpost_tlastpatch_magsector_center,velocity_xy,15,0.6521739130434783,0.9130167951129676,0.029835326069810746,0.005,0.01,magnitude_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,center,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter23_velocity_residpost_tlastpatch_magsector_center,velocity_xy,16,0.6956521739130435,0.9227717499382526,0.02497787118964475,0.005,0.01,magnitude_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,center,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter23_velocity_residpost_tlastpatch_magsector_center,velocity_xy,17,0.7391304347826086,0.9089015364072142,0.027751739890126036,0.005,0.01,magnitude_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,center,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter23_velocity_residpost_tlastpatch_magsector_center,velocity_xy,18,0.782608695652174,0.8945725005356386,0.03166509431577976,0.005,0.01,magnitude_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,center,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter23_velocity_residpost_tlastpatch_magsector_center,velocity_xy,19,0.8260869565217391,0.8960939500383169,0.027792911734720503,0.005,0.01,magnitude_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,center,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter23_velocity_residpost_tlastpatch_magsector_center,velocity_xy,20,0.8695652173913043,0.8895866696668261,0.026530198190594732,0.005,0.01,magnitude_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,center,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter23_velocity_residpost_tlastpatch_magsector_center,velocity_xy,21,0.9130434782608695,0.9018827495960615,0.02638354974006177,0.005,0.01,magnitude_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,center,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter23_velocity_residpost_tlastpatch_magsector_center,velocity_xy,22,0.9565217391304348,0.9102210919782963,0.024133544455140203,0.005,0.01,magnitude_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,center,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter23_velocity_residpost_tlastpatch_magsector_center,velocity_xy,23,1.0,0.9082599927163081,0.025254252748196763,0.005,0.01,magnitude_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,center,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
