run_name,variable,layer,layer_fraction,r2_mean,r2_std,best_lr_mode,best_wd_mode,grouping,direction_target,residual_capture,preprocessing,solver,probe_set,norm_mode,feature_root
fig2b_iter24_velocity_residpost_tlastpatch_magsector_ridge,velocity_xy,0,0.0,0.7391358600956778,0.04251648068239944,0.0,0.01,magnitude_spatial_sector,vxy,resid_post,resize,ridge,fig2b_velocity_xy,zscore,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter24_velocity_residpost_tlastpatch_magsector_ridge,velocity_xy,1,0.043478260869565216,0.6197867907715814,0.11962759139086068,0.0,0.01,magnitude_spatial_sector,vxy,resid_post,resize,ridge,fig2b_velocity_xy,zscore,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter24_velocity_residpost_tlastpatch_magsector_ridge,velocity_xy,2,0.08695652173913043,0.6997250874294811,0.06381767108763955,0.0,0.01,magnitude_spatial_sector,vxy,resid_post,resize,ridge,fig2b_velocity_xy,zscore,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter24_velocity_residpost_tlastpatch_magsector_ridge,velocity_xy,3,0.13043478260869565,0.6886015823425846,0.07545926653387253,0.0,0.01,magnitude_spatial_sector,vxy,resid_post,resize,ridge,fig2b_velocity_xy,zscore,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter24_velocity_residpost_tlastpatch_magsector_ridge,velocity_xy,4,0.17391304347826086,0.7070831693262379,0.06995405384583442,0.0,0.01,magnitude_spatial_sector,vxy,resid_post,resize,ridge,fig2b_velocity_xy,zscore,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter24_velocity_residpost_tlastpatch_magsector_ridge,velocity_xy,5,0.21739130434782608,0.7491223509008773,0.058878501877933066,0.0,0.01,magnitude_spatial_sector,vxy,resid_post,resize,ridge,fig2b_velocity_xy,zscore,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter24_velocity_residpost_tlastpatch_magsector_ridge,velocity_xy,6,0.2608695652173913,0.7718771387415597,0.04980984428527548,0.0,0.01,magnitude_spatial_sector,vxy,resid_post,resize,ridge,fig2b_velocity_xy,zscore,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter24_velocity_residpost_tlastpatch_magsector_ridge,velocity_xy,7,0.30434782608695654,0.7891255767624866,0.058789822748706505,0.0,0.01,magnitude_spatial_sector,vxy,resid_post,resize,ridge,fig2b_velocity_xy,zscore,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter24_velocity_residpost_tlastpatch_magsector_ridge,velocity_xy,8,0.34782608695652173,0.911515166818232,0.03316966306080437,0.0,0.01,magnitude_spatial_sector,vxy,resid_post,resize,ridge,fig2b_velocity_xy,zscore,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
fig2b_iter24_velocity_residpost_tlastpatch_magsector_ridge,velocity_xy,9,0.391304347826087,0.9271253566878537,0.028175948663611994,0.0,0.01,magnitude_spatial_sector,vxy,resid_post,resize,ridge,fig2b_velocity_xy,zscore,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last_patch
