run_name,variable,layer,layer_fraction,r2_mean,r2_std,best_lr_mode,best_wd_mode,grouping,direction_target,residual_capture,preprocessing,solver,probe_set,feature_root
fig2b_iter4_velocity_residpost_dirsector,velocity_xy,0,0.0,0.6450704595808265,0.03425672861979248,0.003,0.01,direction_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter4_velocity_residpost_dirsector,velocity_xy,1,0.043478260869565216,0.7626260066198135,0.01630239332860175,0.003,0.01,direction_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter4_velocity_residpost_dirsector,velocity_xy,2,0.08695652173913043,0.7921733142418981,0.015024469491910383,0.003,0.01,direction_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter4_velocity_residpost_dirsector,velocity_xy,3,0.13043478260869565,0.7938257657645462,0.024837435527389803,0.003,0.01,direction_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter4_velocity_residpost_dirsector,velocity_xy,4,0.17391304347826086,0.8388153748277822,0.021873508462684318,0.003,0.1,direction_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter4_velocity_residpost_dirsector,velocity_xy,5,0.21739130434782608,0.9109172484098689,0.01290607055807478,0.003,0.1,direction_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter4_velocity_residpost_dirsector,velocity_xy,6,0.2608695652173913,0.9256072756382933,0.013313836875098647,0.003,0.1,direction_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter4_velocity_residpost_dirsector,velocity_xy,7,0.30434782608695654,0.9497949921297867,0.009054991083597625,0.005,0.1,direction_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter4_velocity_residpost_dirsector,velocity_xy,8,0.34782608695652173,0.9767164891987596,0.007635039812525777,0.005,0.1,direction_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter4_velocity_residpost_dirsector,velocity_xy,9,0.391304347826087,0.9803860086774862,0.006739474639989744,0.005,0.1,direction_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter4_velocity_residpost_dirsector,velocity_xy,10,0.43478260869565216,0.9831747900534336,0.005121379672151023,0.005,0.1,direction_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter4_velocity_residpost_dirsector,velocity_xy,11,0.4782608695652174,0.9865966861197355,0.005919340735382409,0.005,0.1,direction_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter4_velocity_residpost_dirsector,velocity_xy,12,0.5217391304347826,0.9819443707169683,0.006485545320577936,0.005,0.1,direction_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter4_velocity_residpost_dirsector,velocity_xy,13,0.5652173913043478,0.9787073853949915,0.007869824626844536,0.005,0.1,direction_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter4_velocity_residpost_dirsector,velocity_xy,14,0.6086956521739131,0.9809248293603661,0.005573718406422029,0.005,0.1,direction_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter4_velocity_residpost_dirsector,velocity_xy,15,0.6521739130434783,0.9775243181677808,0.0064214528497019896,0.005,0.1,direction_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter4_velocity_residpost_dirsector,velocity_xy,16,0.6956521739130435,0.975769987445646,0.007917743566452001,0.005,0.1,direction_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter4_velocity_residpost_dirsector,velocity_xy,17,0.7391304347826086,0.9715371423971021,0.009142031367418878,0.005,0.1,direction_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter4_velocity_residpost_dirsector,velocity_xy,18,0.782608695652174,0.9724286921197758,0.006274928585332489,0.005,0.01,direction_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter4_velocity_residpost_dirsector,velocity_xy,19,0.8260869565217391,0.9691655482270434,0.006676727246354012,0.005,0.01,direction_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter4_velocity_residpost_dirsector,velocity_xy,20,0.8695652173913043,0.9667559606862988,0.009571003689904862,0.005,0.01,direction_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter4_velocity_residpost_dirsector,velocity_xy,21,0.9130434782608695,0.9733190228649617,0.004858543128299124,0.005,0.01,direction_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter4_velocity_residpost_dirsector,velocity_xy,22,0.9565217391304348,0.9695145911926565,0.005755895878098674,0.005,0.01,direction_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter4_velocity_residpost_dirsector,velocity_xy,23,1.0,0.9714708498835047,0.006961121558209351,0.005,0.01,direction_spatial_sector,vxy,resid_post,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
