run_name,variable,layer,layer_fraction,r2_mean,r2_std,best_lr_mode,best_wd_mode,grouping,direction_target,residual_capture,preprocessing,solver,probe_set,feature_root
fig2b_iter7_velocity_residpost_magnitude_adamw100,velocity_xy,0,0.0,0.5087572438291061,0.16516582730425655,0.001,0.1,magnitude,vxy,resid_post,resize,adamw100,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter7_velocity_residpost_magnitude_adamw100,velocity_xy,1,0.043478260869565216,0.6051416195418752,0.16233951100058758,0.001,0.1,magnitude,vxy,resid_post,resize,adamw100,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter7_velocity_residpost_magnitude_adamw100,velocity_xy,2,0.08695652173913043,0.6610476568223048,0.15321247558697473,0.001,0.1,magnitude,vxy,resid_post,resize,adamw100,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter7_velocity_residpost_magnitude_adamw100,velocity_xy,3,0.13043478260869565,0.6718928033019969,0.15760712558147924,0.001,0.1,magnitude,vxy,resid_post,resize,adamw100,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter7_velocity_residpost_magnitude_adamw100,velocity_xy,4,0.17391304347826086,0.611249765743216,0.3819003780235332,0.001,0.1,magnitude,vxy,resid_post,resize,adamw100,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter7_velocity_residpost_magnitude_adamw100,velocity_xy,5,0.21739130434782608,0.7768924207409743,0.1287726159007984,0.001,0.1,magnitude,vxy,resid_post,resize,adamw100,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter7_velocity_residpost_magnitude_adamw100,velocity_xy,6,0.2608695652173913,0.7613556557218563,0.16462294146688974,0.001,0.1,magnitude,vxy,resid_post,resize,adamw100,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter7_velocity_residpost_magnitude_adamw100,velocity_xy,7,0.30434782608695654,0.7909004043585897,0.15855872912201988,0.001,0.1,magnitude,vxy,resid_post,resize,adamw100,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter7_velocity_residpost_magnitude_adamw100,velocity_xy,8,0.34782608695652173,0.9424181455352946,0.0074685658758154114,0.001,0.1,magnitude,vxy,resid_post,resize,adamw100,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter7_velocity_residpost_magnitude_adamw100,velocity_xy,9,0.391304347826087,0.8962292977761953,0.10961765308407846,0.001,0.1,magnitude,vxy,resid_post,resize,adamw100,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter7_velocity_residpost_magnitude_adamw100,velocity_xy,10,0.43478260869565216,0.9285741245750572,0.03822247110208333,0.001,0.1,magnitude,vxy,resid_post,resize,adamw100,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter7_velocity_residpost_magnitude_adamw100,velocity_xy,11,0.4782608695652174,0.8770489475916934,0.12622380171023362,0.001,0.1,magnitude,vxy,resid_post,resize,adamw100,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter7_velocity_residpost_magnitude_adamw100,velocity_xy,12,0.5217391304347826,0.9064672857505609,0.0789113285767787,0.001,0.1,magnitude,vxy,resid_post,resize,adamw100,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter7_velocity_residpost_magnitude_adamw100,velocity_xy,13,0.5652173913043478,0.8776418720144286,0.09974987022317208,0.001,0.1,magnitude,vxy,resid_post,resize,adamw100,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter7_velocity_residpost_magnitude_adamw100,velocity_xy,14,0.6086956521739131,0.885084568030743,0.09559554395432317,0.001,0.1,magnitude,vxy,resid_post,resize,adamw100,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter7_velocity_residpost_magnitude_adamw100,velocity_xy,15,0.6521739130434783,0.8557608531365789,0.12703866161230737,0.001,0.1,magnitude,vxy,resid_post,resize,adamw100,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter7_velocity_residpost_magnitude_adamw100,velocity_xy,16,0.6956521739130435,0.8770947632255346,0.1327413081331246,0.001,0.1,magnitude,vxy,resid_post,resize,adamw100,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter7_velocity_residpost_magnitude_adamw100,velocity_xy,17,0.7391304347826086,0.8623227628348348,0.14233069288050398,0.001,0.1,magnitude,vxy,resid_post,resize,adamw100,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter7_velocity_residpost_magnitude_adamw100,velocity_xy,18,0.782608695652174,0.854648470018471,0.12710993791961347,0.001,0.1,magnitude,vxy,resid_post,resize,adamw100,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter7_velocity_residpost_magnitude_adamw100,velocity_xy,19,0.8260869565217391,0.8509553873550862,0.14473004954233362,0.001,0.1,magnitude,vxy,resid_post,resize,adamw100,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter7_velocity_residpost_magnitude_adamw100,velocity_xy,20,0.8695652173913043,0.831716430145768,0.15897781576236547,0.001,0.1,magnitude,vxy,resid_post,resize,adamw100,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter7_velocity_residpost_magnitude_adamw100,velocity_xy,21,0.9130434782608695,0.8411205312454048,0.1530678322974612,0.001,0.1,magnitude,vxy,resid_post,resize,adamw100,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter7_velocity_residpost_magnitude_adamw100,velocity_xy,22,0.9565217391304348,0.8244709637166748,0.19085882782969113,0.001,0.1,magnitude,vxy,resid_post,resize,adamw100,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
fig2b_iter7_velocity_residpost_magnitude_adamw100,velocity_xy,23,1.0,0.9140924041958259,0.03543108956255456,0.001,0.1,magnitude,vxy,resid_post,resize,adamw100,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_post_resize
