run_name,variable,layer,layer_fraction,r2_mean,r2_std,best_lr_mode,best_wd_mode,grouping,direction_target,residual_capture,preprocessing,solver,probe_set,feature_root
fig2b_velocity_xy_spatial_cluster,velocity_xy,0,0.0,0.04805712548369741,0.07603306378119781,0.005,0.8,spatial_cluster,vxy,resid_pre,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_pre_resize
fig2b_velocity_xy_spatial_cluster,velocity_xy,1,0.043478260869565216,0.6596242462274322,0.04411069722925185,0.003,0.01,spatial_cluster,vxy,resid_pre,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_pre_resize
fig2b_velocity_xy_spatial_cluster,velocity_xy,2,0.08695652173913043,0.7799454235632117,0.019218537276526608,0.003,0.01,spatial_cluster,vxy,resid_pre,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_pre_resize
fig2b_velocity_xy_spatial_cluster,velocity_xy,3,0.13043478260869565,0.8160642628986698,0.029773141187359728,0.003,0.01,spatial_cluster,vxy,resid_pre,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_pre_resize
fig2b_velocity_xy_spatial_cluster,velocity_xy,4,0.17391304347826086,0.7949066490066337,0.03952932054667542,0.003,0.01,spatial_cluster,vxy,resid_pre,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_pre_resize
fig2b_velocity_xy_spatial_cluster,velocity_xy,5,0.21739130434782608,0.8497157151016281,0.03775607563001481,0.003,0.1,spatial_cluster,vxy,resid_pre,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_pre_resize
fig2b_velocity_xy_spatial_cluster,velocity_xy,6,0.2608695652173913,0.9132216751182908,0.017366922751911314,0.005,0.1,spatial_cluster,vxy,resid_pre,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_pre_resize
fig2b_velocity_xy_spatial_cluster,velocity_xy,7,0.30434782608695654,0.9285165009417844,0.014847580441849716,0.003,0.1,spatial_cluster,vxy,resid_pre,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_pre_resize
fig2b_velocity_xy_spatial_cluster,velocity_xy,8,0.34782608695652173,0.9499087452447738,0.013808182624007416,0.003,0.1,spatial_cluster,vxy,resid_pre,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_pre_resize
fig2b_velocity_xy_spatial_cluster,velocity_xy,9,0.391304347826087,0.9756263970597484,0.00663124501926704,0.005,0.1,spatial_cluster,vxy,resid_pre,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_pre_resize
fig2b_velocity_xy_spatial_cluster,velocity_xy,10,0.43478260869565216,0.9793443910624111,0.0061094576196580415,0.005,0.1,spatial_cluster,vxy,resid_pre,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_pre_resize
fig2b_velocity_xy_spatial_cluster,velocity_xy,11,0.4782608695652174,0.9832372021241513,0.004032101258910272,0.005,0.1,spatial_cluster,vxy,resid_pre,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_pre_resize
fig2b_velocity_xy_spatial_cluster,velocity_xy,12,0.5217391304347826,0.9857274902668186,0.004197096293269934,0.005,0.1,spatial_cluster,vxy,resid_pre,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_pre_resize
fig2b_velocity_xy_spatial_cluster,velocity_xy,13,0.5652173913043478,0.9811065047549888,0.004970137165027634,0.005,0.1,spatial_cluster,vxy,resid_pre,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_pre_resize
fig2b_velocity_xy_spatial_cluster,velocity_xy,14,0.6086956521739131,0.9787442305761379,0.005283863240769246,0.005,0.01,spatial_cluster,vxy,resid_pre,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_pre_resize
fig2b_velocity_xy_spatial_cluster,velocity_xy,15,0.6521739130434783,0.9794711782346243,0.0062152957454672956,0.005,0.01,spatial_cluster,vxy,resid_pre,resize,trainable,fig2b_velocity_xy,/home/solee/pez/artifacts/features/resid_pre_resize
