run_name,variable,layer,layer_fraction,r2_mean,r2_std,best_lr_mode,best_wd_mode,grouping,direction_target,residual_capture,preprocessing,solver,probe_set,norm_mode,feature_root
fig2c_iter17_residpost_tlast_dirsector_angle_none,speed,0,0.0,0.7334052144359406,0.06434023858636469,0.005,0.01,direction_spatial_sector,angle,resid_post,resize,trainable,fig2c,none,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last
fig2c_iter17_residpost_tlast_dirsector_angle_none,speed,1,0.043478260869565216,0.8108067877077172,0.05300088677983696,0.005,0.01,direction_spatial_sector,angle,resid_post,resize,trainable,fig2c,none,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last
fig2c_iter17_residpost_tlast_dirsector_angle_none,speed,2,0.08695652173913043,0.8452877480374286,0.03805853187764866,0.005,0.01,direction_spatial_sector,angle,resid_post,resize,trainable,fig2c,none,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last
fig2c_iter17_residpost_tlast_dirsector_angle_none,speed,3,0.13043478260869565,0.8476925791277219,0.035067848122554555,0.005,0.01,direction_spatial_sector,angle,resid_post,resize,trainable,fig2c,none,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last
fig2c_iter17_residpost_tlast_dirsector_angle_none,speed,4,0.17391304347826086,0.8553064992780598,0.03799356421896327,0.005,0.01,direction_spatial_sector,angle,resid_post,resize,trainable,fig2c,none,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last
fig2c_iter17_residpost_tlast_dirsector_angle_none,speed,5,0.21739130434782608,0.9469880421085186,0.0074230883327902715,0.005,0.01,direction_spatial_sector,angle,resid_post,resize,trainable,fig2c,none,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last
fig2c_iter17_residpost_tlast_dirsector_angle_none,speed,6,0.2608695652173913,0.945895842442732,0.011467517040155872,0.005,0.01,direction_spatial_sector,angle,resid_post,resize,trainable,fig2c,none,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last
fig2c_iter17_residpost_tlast_dirsector_angle_none,speed,7,0.30434782608695654,0.956315868297709,0.005713888676513733,0.003,0.01,direction_spatial_sector,angle,resid_post,resize,trainable,fig2c,none,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last
fig2c_iter17_residpost_tlast_dirsector_angle_none,speed,8,0.34782608695652173,0.9704276641835209,0.004672129987116779,0.003,0.01,direction_spatial_sector,angle,resid_post,resize,trainable,fig2c,none,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last
fig2c_iter17_residpost_tlast_dirsector_angle_none,speed,9,0.391304347826087,0.9744714465199676,0.005459017167059886,0.003,0.01,direction_spatial_sector,angle,resid_post,resize,trainable,fig2c,none,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last
fig2c_iter17_residpost_tlast_dirsector_angle_none,speed,10,0.43478260869565216,0.9748735999404264,0.005224655649154183,0.003,0.01,direction_spatial_sector,angle,resid_post,resize,trainable,fig2c,none,/home/solee/pez/artifacts/features/resid_post_resize_temporal_last
