layer,accuracy_mean,accuracy_std,auc_mean,auc_std,relative_accuracy_mean,relative_accuracy_std,best_lr_mode,best_wd_mode
0,0.5138888888888888,0.008784104611578835,0.5003086419753086,0.0006172839506172617,0.7,0.04444444444444447,0.003,0.01
1,0.5249999999999999,0.010393492741038736,0.5044753086419753,0.003324175806873167,0.7555555555555556,0.10886621079036345,0.005,0.8
2,0.5333333333333333,0.0188398055086813,0.504783950617284,0.005782405554072575,0.6777777777777778,0.12372809695177824,0.003,0.1
3,0.5333333333333333,0.02078698548207746,0.5132716049382715,0.016645219396597338,0.6555555555555556,0.1547598697464902,0.005,0.4
4,0.5638888888888889,0.027216552697590882,0.5459876543209876,0.026009382137078364,0.6222222222222222,0.11331154474650634,0.005,0.1
5,0.5555555555555556,0.029133579115837544,0.549537037037037,0.03603452890328263,0.6222222222222223,0.06478835438716998,0.003,0.01
6,0.5888888888888889,0.02421610524189263,0.5799382716049383,0.03944282633517162,0.7,0.0753592220347252,0.001,0.01
7,0.5833333333333334,0.024845199749997663,0.5966049382716049,0.03385016001931646,0.7333333333333334,0.08164965809277264,0.0001,0.4
8,0.6,0.023895347964007295,0.6188271604938271,0.04094016846191511,0.8111111111111111,0.05665577237325316,0.001,0.01
9,0.6305555555555555,0.03356401659331826,0.6547839506172839,0.046699886928234534,0.9666666666666668,0.06666666666666667,0.001,0.1
10,0.675,0.025760051376376974,0.6802469135802468,0.04014897099516671,0.9555555555555555,0.041573970964154924,0.003,0.1
11,0.6527777777777778,0.03828902431136173,0.671604938271605,0.049432363160822765,0.9666666666666668,0.027216552697590882,0.003,0.01
12,0.6694444444444445,0.03868996743662256,0.667283950617284,0.05184679943050796,0.9666666666666668,0.027216552697590882,0.003,0.1
13,0.6527777777777778,0.031671539586087184,0.6540123456790123,0.044127707968776894,0.9777777777777779,0.027216552697590882,0.001,0.01
14,0.6583333333333332,0.02256677334621099,0.674074074074074,0.032306574467877255,0.9333333333333333,0.04157397096415492,0.005,0.01
15,0.6888888888888889,0.0672428802050567,0.7108024691358025,0.0926393914654548,0.9666666666666666,0.027216552697590882,0.001,0.01
16,0.7388888888888887,0.0731774437351083,0.7641975308641975,0.08249838922649162,0.888888888888889,0.0496903994999953,0.005,0.01
17,0.7222222222222222,0.06860605019571372,0.7529320987654321,0.07916591461149777,0.888888888888889,0.0496903994999953,0.003,0.01
18,0.75,0.06148873228105182,0.7942901234567902,0.08324269190277449,0.9,0.04157397096415488,0.005,0.1
19,0.7222222222222221,0.058267158231675116,0.754783950617284,0.08186055667546234,0.888888888888889,0.0496903994999953,0.003,0.4
20,0.7611111111111111,0.05983516452371673,0.7794753086419752,0.07879654412827995,0.888888888888889,0.0496903994999953,0.005,0.4
21,0.7583333333333333,0.0694999777955378,0.7808641975308642,0.09068639718141229,0.8777777777777779,0.05443310539518172,0.001,0.4
22,0.7472222222222221,0.059186877090729194,0.7799382716049383,0.08329531597371546,0.9,0.04157397096415488,0.001,0.01
23,0.7083333333333334,0.07657804862272344,0.7501543209876542,0.09115185696014327,0.9222222222222222,0.04444444444444447,0.003,0.01
24,0.7305555555555555,0.051669653438161864,0.7666666666666667,0.05877705365425319,0.9,0.04157397096415488,0.003,0.01
25,0.7166666666666666,0.05733268733486192,0.7541666666666667,0.07358797550346365,0.9444444444444444,0.06085806194501844,0.003,0.01
26,0.7305555555555554,0.04530418452861136,0.753395061728395,0.06882543041616768,0.9555555555555555,0.022222222222222233,0.005,0.1
27,0.7333333333333332,0.05371966557170477,0.7708333333333333,0.07856135759699939,0.9555555555555555,0.041573970964154924,0.001,0.4
28,0.7416666666666666,0.06949997779553778,0.7570987654320988,0.07874212327818546,0.9777777777777779,0.027216552697590882,0.005,0.4
29,0.7666666666666667,0.04922234762963709,0.7949074074074074,0.06724819244625478,0.9888888888888889,0.022222222222222233,0.005,0.01
30,0.7777777777777778,0.05196746370519363,0.8023148148148149,0.06272991547405275,0.9888888888888889,0.022222222222222233,0.005,0.01
31,0.775,0.057197945227705584,0.8189814814814815,0.07022469760878132,0.9777777777777779,0.02721655269759088,0.001,0.01
32,0.7749999999999999,0.04922234762963707,0.8203703703703704,0.07277408654604249,0.9777777777777779,0.02721655269759088,0.005,0.01
33,0.7722222222222223,0.04444444444444447,0.8220679012345679,0.07451578691538431,0.9666666666666666,0.027216552697590882,0.001,0.01
34,0.7861111111111111,0.04175915660659141,0.8270061728395062,0.06488715833327577,0.9777777777777779,0.02721655269759088,0.0003,0.1
35,0.7888888888888889,0.06538112386633235,0.8257716049382715,0.08888058303101384,0.9777777777777779,0.02721655269759088,0.005,0.01
36,0.7583333333333334,0.06949997779553782,0.818672839506173,0.06751609347118748,0.9777777777777779,0.027216552697590882,0.003,0.01
37,0.788888888888889,0.03447131568330794,0.8253086419753087,0.03986920870513951,0.9777777777777779,0.027216552697590882,0.005,0.01
38,0.775,0.03767961101736258,0.8080246913580247,0.043172382321758386,1.0,0.0,0.003,0.01
39,0.7444444444444445,0.05597067133224967,0.788888888888889,0.059944517226824666,0.9888888888888889,0.022222222222222233,0.0001,0.1
