layer,accuracy_mean,accuracy_std,auc_mean,auc_std,relative_accuracy_mean,relative_accuracy_std,best_lr_mode,best_wd_mode
0,0.5166666666666667,0.010393492741038736,0.5007716049382716,0.0009760116235087459,0.6222222222222223,0.0816496580927726,0.001,0.01
1,0.5333333333333333,0.014163943093313305,0.5027777777777778,0.005014838521380175,0.7,0.12472191289246473,0.003,0.4
2,0.5277777777777778,0.015214515486254642,0.5075617283950618,0.005010087370601181,0.6666666666666666,0.12668615834434868,0.003,0.4
3,0.5583333333333333,0.016197088596792523,0.5436728395061727,0.029854630521455584,0.5555555555555556,0.10540925533894599,0.003,0.4
4,0.5722222222222222,0.026931554763424088,0.5655864197530864,0.03267817514213934,0.6,0.06478835438716998,0.0001,0.4
5,0.5638888888888889,0.025760051376376956,0.5648148148148148,0.028329567516490503,0.6333333333333334,0.09686442096757052,0.0003,0.8
6,0.5694444444444444,0.026352313834736484,0.5614197530864198,0.026494715965439564,0.7777777777777778,0.03513641844631534,0.001,0.01
7,0.5722222222222222,0.025458753860865796,0.5731481481481482,0.03313915205421113,0.9222222222222222,0.05665577237325316,0.003,0.01
8,0.5972222222222222,0.038289024311361726,0.595216049382716,0.045645111711296274,0.9666666666666666,0.027216552697590882,0.0001,0.01
9,0.6555555555555556,0.026931554763424022,0.6591049382716049,0.030151493479778437,0.9777777777777779,0.027216552697590882,0.003,0.01
10,0.6944444444444444,0.04730385101646222,0.7251543209876543,0.055721203663622584,1.0,0.0,0.0003,0.01
11,0.725,0.059835164523716726,0.7711419753086421,0.04820548975473151,1.0,0.0,0.005,0.01
12,0.7472222222222223,0.047628967220784,0.7807098765432098,0.06563342542135651,1.0,0.0,0.003,0.8
13,0.7694444444444445,0.06186404847588915,0.819135802469136,0.06340057617234174,1.0,0.0,0.003,0.01
14,0.775,0.05076574134026962,0.8331790123456791,0.058646848400514304,0.9888888888888889,0.022222222222222233,0.001,0.1
15,0.7916666666666666,0.036217791140014714,0.8348765432098764,0.04767744353634384,0.9888888888888889,0.022222222222222233,0.001,0.01
16,0.7861111111111112,0.04175915660659142,0.8469135802469137,0.062380047976993,0.9888888888888889,0.022222222222222233,0.003,0.01
17,0.7972222222222223,0.04779069592801458,0.8223765432098766,0.05991431607335623,0.9666666666666666,0.04444444444444447,0.001,0.01
18,0.7527777777777779,0.05371966557170475,0.7935185185185187,0.07150509215812528,0.9888888888888889,0.022222222222222233,0.003,0.01
19,0.7694444444444444,0.025760051376376946,0.8060185185185185,0.03237652849862555,0.9888888888888889,0.022222222222222233,0.003,0.01
20,0.7694444444444445,0.03118047822311618,0.813425925925926,0.03531017975585935,0.9888888888888889,0.022222222222222233,0.003,0.01
21,0.7555555555555555,0.03986861137335368,0.7927469135802468,0.05374625815071665,0.9888888888888889,0.022222222222222233,0.001,0.4
22,0.7416666666666666,0.027216552697590875,0.7594135802469136,0.03423144238291298,0.9888888888888889,0.022222222222222233,0.001,0.8
23,0.736111111111111,0.04730385101646221,0.7518518518518518,0.054290728805782944,0.9777777777777779,0.027216552697590882,0.0001,0.01
24,0.7333333333333334,0.023895347964007295,0.7578703703703704,0.03683845942311921,0.9888888888888889,0.022222222222222233,0.0003,0.4
25,0.7583333333333333,0.014163943093313272,0.7635802469135802,0.024451964487369353,1.0,0.0,0.003,0.01
26,0.7444444444444445,0.03356401659331825,0.7671296296296297,0.03407454933467087,0.9888888888888889,0.022222222222222233,0.005,0.01
27,0.7277777777777776,0.06431020501550125,0.7614197530864197,0.053832150918284416,0.9888888888888889,0.022222222222222233,0.001,0.01
28,0.7555555555555555,0.031180478223116172,0.792283950617284,0.04652310696617663,0.9777777777777779,0.02721655269759088,0.003,0.01
29,0.7388888888888888,0.04427049291808119,0.7683641975308642,0.05251087664311439,0.9777777777777779,0.027216552697590882,0.001,0.01
30,0.7166666666666667,0.04175915660659143,0.7401234567901235,0.06351841353816803,0.9666666666666666,0.04444444444444447,0.003,0.01
31,0.7194444444444443,0.04063538566202164,0.7523148148148149,0.052419184647104246,0.9777777777777779,0.027216552697590882,0.005,0.01
