layer,clip_accuracy_mean,clip_accuracy_std,auc_mean,auc_std,relative_accuracy_mean,relative_accuracy_std
0,0.5,0.0,0.4999999999999999,5.551115123125783e-17,0.0,0.0
1,0.5,0.0,0.5184413580246913,0.016877524197739077,0.7111111111111111,0.06478835438717004
2,0.5,0.0,0.5026234567901234,0.02408890806036928,0.6,0.08164965809277258
3,0.5,0.0,0.5010802469135802,0.01937696501926245,0.7222222222222222,0.0
4,0.5,0.0,0.5234567901234567,0.023745381954220202,0.7111111111111111,0.10183501544346307
5,0.5,0.0,0.5315586419753087,0.017340351099491034,0.788888888888889,0.041573970964154924
6,0.5083333333333333,0.016666666666666653,0.5250000000000001,0.04033833723640977,0.7,0.08314794192830981
7,0.513888888888889,0.027777777777777766,0.5433641975308642,0.027421410892569418,0.7333333333333334,0.14656562175858798
8,0.5055555555555555,0.011111111111111117,0.5401234567901236,0.010511966892547192,0.8222222222222223,0.0816496580927726
9,0.5,0.0,0.5376543209876543,0.010459730372117608,0.8,0.05665577237325316
10,0.5027777777777778,0.005555555555555536,0.5344135802469137,0.006241897659307582,0.888888888888889,0.07027283689263066
11,0.5027777777777778,0.005555555555555536,0.5466049382716051,0.021974354952256272,0.8444444444444444,0.08888888888888888
12,0.5166666666666667,0.026931554763424043,0.546604938271605,0.020522950821957413,0.8777777777777779,0.11331154474650632
13,0.49444444444444446,0.011111111111111117,0.5561728395061729,0.03346809179986631,0.8777777777777779,0.0816496580927726
14,0.5083333333333333,0.016666666666666653,0.5314814814814814,0.010505168163652759,0.8,0.11439589045541111
15,0.5,0.0,0.5549382716049382,0.01277606298507359,0.7666666666666667,0.10772621905369618
16,0.5194444444444445,0.03888888888888888,0.5492283950617285,0.01325185150680772,0.7555555555555555,0.0753592220347252
17,0.5027777777777778,0.005555555555555536,0.5512345679012347,0.029578144569656635,0.8444444444444444,0.041573970964154876
18,0.5111111111111111,0.022222222222222233,0.5694444444444444,0.07144078406058389,0.7555555555555555,0.1594744454934147
19,0.5,0.0,0.5635802469135803,0.03220320734063499,0.7777777777777778,0.07027283689263064
20,0.5111111111111111,0.022222222222222233,0.5677469135802469,0.05431441107776073,0.7777777777777778,0.04969039949999535
21,0.5277777777777778,0.05555555555555553,0.5902777777777778,0.07609605299962427,0.8666666666666668,0.07535922203472518
22,0.5416666666666667,0.05121969142940494,0.5966820987654321,0.05124037784996303,0.8,0.0753592220347252
23,0.5,0.008784104611578818,0.5680555555555554,0.036669991951306546,0.7888888888888888,0.11331154474650633
