layer,accuracy_mean,accuracy_std,auc_mean,auc_std,best_lr_mode,best_wd_mode
0,0.625,0.07905694150420949,0.5,0.0,0.0001,0.01
1,0.625,0.07905694150420949,0.5875,0.10897247358851683,0.0001,0.01
2,0.65,0.18371173070873836,0.575,0.21794494717703367,0.0001,0.01
3,0.625,0.19364916731037085,0.625,0.2053959590644373,0.0001,0.01
4,0.625,0.19364916731037085,0.65,0.18791620472966136,0.0001,0.01
5,0.55,0.06123724356957946,0.65,0.17940875118009156,0.0001,0.01
6,0.625,0.11180339887498948,0.6625,0.18371173070873836,0.0001,0.01
7,0.775,0.16583123951777,0.7875,0.17940875118009156,0.0001,0.01
8,0.725,0.1457737973711325,0.725,0.15103807466993216,0.005,0.01
9,0.6,0.09354143466934853,0.6375,0.19525624189766635,0.003,0.01
10,0.75,0.13693063937629152,0.75,0.13693063937629152,0.003,0.01
11,0.725,0.1457737973711325,0.6875,0.16770509831248423,0.0003,0.01
12,0.8,0.12747548783981963,0.7625,0.1446979612848778,0.001,0.01
13,0.725,0.1457737973711325,0.7125,0.16105123408406408,0.001,0.01
14,0.725,0.1457737973711325,0.7625,0.21065374432940895,0.0003,0.01
15,0.85,0.1224744871391589,0.825,0.15,0.0003,0.01
16,0.775,0.1224744871391589,0.775,0.1224744871391589,0.0003,0.01
17,0.85,0.1224744871391589,0.7875,0.17500000000000002,0.005,0.01
18,0.8,0.1695582495781317,0.775,0.2,0.001,0.01
19,0.8,0.1695582495781317,0.825,0.17410485346480148,0.0003,0.01
20,0.825,0.15,0.8125,0.17230060940112776,0.0001,0.01
21,0.825,0.1695582495781317,0.825,0.19121323175972943,0.0003,0.01
22,0.725,0.1457737973711325,0.6875,0.1767766952966369,0.001,0.01
23,0.775,0.1457737973711325,0.775,0.16583123951777,0.0001,0.01
