layer,accuracy_mean,accuracy_std,auc_mean,auc_std,relative_accuracy_mean,relative_accuracy_std,best_lr_mode,best_wd_mode
0,0.5249999999999999,0.010393492741038736,0.499537037037037,0.0015888318118806824,0.6333333333333333,0.027216552697590827,0.0003,0.01
1,0.5444444444444445,0.023895347964007323,0.5359567901234568,0.022462054575385575,0.6888888888888889,0.07535922203472521,0.005,0.4
2,0.5611111111111111,0.028598972613852774,0.5578703703703703,0.03736034300412356,0.6333333333333333,0.0753592220347252,0.005,0.01
3,0.5777777777777777,0.025760051376376974,0.5716049382716049,0.03488951468600771,0.6555555555555556,0.041573970964154876,0.003,0.01
4,0.5694444444444445,0.024845199749997663,0.5628086419753087,0.03177888450498286,0.7444444444444445,0.07535922203472524,0.0001,0.01
5,0.5833333333333334,0.023240556292613235,0.575925925925926,0.03148526363143827,0.9333333333333332,0.041573970964154924,0.001,0.1
6,0.638888888888889,0.03928371006591931,0.6313271604938271,0.06800006836293043,0.9666666666666668,0.027216552697590882,0.005,0.01
7,0.6861111111111111,0.043567742059328146,0.6864197530864198,0.05920095833227048,1.0,0.0,0.005,0.01
8,0.7166666666666666,0.05457467417885695,0.7217592592592592,0.07418426731761665,1.0,0.0,0.001,0.01
9,0.7333333333333332,0.05371966557170477,0.7523148148148149,0.05354960508012325,1.0,0.0,0.003,0.01
10,0.6888888888888889,0.038888888888888896,0.711111111111111,0.041482216336818395,1.0,0.0,0.003,0.1
11,0.7222222222222222,0.03042903097250922,0.7459876543209877,0.05034365970556687,1.0,0.0,0.001,0.01
12,0.6888888888888889,0.041759156606591415,0.7040123456790124,0.060627922050611086,1.0,0.0,0.001,0.01
13,0.663888888888889,0.028327886186626593,0.6861111111111111,0.04123692423222326,1.0,0.0,0.003,0.8
14,0.675,0.043567742059328125,0.6962962962962964,0.0566015219023692,1.0,0.0,0.003,0.01
15,0.7111111111111111,0.037679611017362606,0.7422839506172839,0.06316612707627069,1.0,0.0,0.003,0.01
16,0.7027777777777777,0.0501540835701883,0.7472222222222223,0.05430827222110383,1.0,0.0,0.003,0.4
17,0.7277777777777777,0.022566773346210996,0.7714506172839506,0.0359253160611763,1.0,0.0,0.003,0.01
18,0.7138888888888889,0.02256677334621099,0.7506172839506173,0.045175212250297976,1.0,0.0,0.003,0.01
19,0.7277777777777777,0.018839805508681317,0.7577160493827161,0.026492019256484214,1.0,0.0,0.005,0.4
20,0.7166666666666667,0.0285989726138528,0.7384259259259259,0.02887081316955201,1.0,0.0,0.003,0.01
21,0.7027777777777778,0.022566773346211034,0.7294753086419753,0.034460951175516855,1.0,0.0,0.003,0.01
22,0.7111111111111112,0.016197088596792523,0.7475308641975309,0.02851975439575322,0.9888888888888889,0.022222222222222233,0.003,0.4
23,0.6972222222222222,0.029658550700086984,0.7163580246913581,0.03346880336460716,0.9888888888888889,0.022222222222222233,0.001,0.01
