layer,probe,mean_r2,std_r2,best_lr,best_wd
0,speed,0.8792929660083193,0.0585294597248708,0.0,1.0
1,speed,0.9169336444509006,0.027620712250240875,0.0,1.0
2,speed,0.932091753234299,0.010408955031284705,0.0,1.0
3,speed,0.942580303060233,0.01219099790531774,0.0,1.0
4,speed,0.9577045541694457,0.01014945195894761,0.0,1.0
5,speed,0.9786002530673967,0.005303550668116175,0.0,1.0
6,speed,0.9810109823477028,0.0048778404235664645,0.0,1.0
7,speed,0.9861789897882443,0.0037703626704541065,0.0,1.0
8,speed,0.9921779324643442,0.001398018179483555,0.0,1.0
9,speed,0.9923998629460178,0.0014864463491969457,0.0,1.0
10,speed,0.9920824676490503,0.0015011655109580036,0.0,1.0
11,speed,0.9934868206798356,0.0018035185801022439,0.0,1.0
12,speed,0.9939857408847095,0.0012070163535906383,0.0,1.0
13,speed,0.9935333731907008,0.0013959232943253756,0.0,1.0
14,speed,0.994047850638766,0.0011306483769294336,0.0,1.0
15,speed,0.9940474899010455,0.000910711078143982,0.0,1.0
16,speed,0.9944597500859919,0.0006175817059083424,0.0,1.0
17,speed,0.9938320533257127,0.0003239022134081192,0.0,1.0
18,speed,0.9943349998206997,0.00029814372561620363,0.0,1.0
19,speed,0.9942257515570512,0.000439749247737365,0.0,1.0
20,speed,0.9939589908490895,0.0005578770636781456,0.0,1.0
21,speed,0.993733859040195,0.0007928102003895548,0.0,1.0
22,speed,0.9923554915905732,0.0011581045001246828,0.0,1.0
23,speed,0.9915995041156549,0.001485951181430291,0.0,1.0
0,direction,0.6329731042809471,0.011652316908932793,0.0,1.0
1,direction,0.8306904852275926,0.01891739125902675,0.0,1.0
2,direction,0.8860368006618945,0.01019195906776671,0.0,1.0
3,direction,0.910155791071025,0.0026407446624040543,0.0,1.0
4,direction,0.9475841031317488,0.003158637231285159,0.0,1.0
5,direction,0.9691106673159762,0.002953877599740407,0.0,1.0
6,direction,0.9710553991486786,0.004531792121935652,0.0,1.0
7,direction,0.9835592145389125,0.0033543755866590453,0.0,1.0
8,direction,0.9928079682535632,0.0008051472828695473,0.0,1.0
9,direction,0.9935818551097743,0.0008222948224533961,0.0,1.0
10,direction,0.994561105424747,0.0004829236733570899,0.0,1.0
11,direction,0.9937075497815024,0.0009876739664188183,0.0,1.0
12,direction,0.9942854848553392,0.000776277772734731,0.0,1.0
13,direction,0.9944889083912308,0.0005541304223095994,0.0,1.0
14,direction,0.9948457776238598,0.0006631579592118258,0.0,1.0
15,direction,0.9948578675565806,0.00041279581664090706,0.0,1.0
16,direction,0.994811828928405,0.0004317730096269453,0.0,1.0
17,direction,0.9958216872875656,0.0003837061959424096,0.0,1.0
18,direction,0.9959199878769993,0.0006893515745960229,0.0,1.0
19,direction,0.9953595644889246,0.0008391893054674397,0.0,1.0
20,direction,0.9955288492989662,0.0008436552269291835,0.0,1.0
21,direction,0.9967821897696364,0.0005632889712834806,0.0,1.0
22,direction,0.9964616957734942,0.000472103840368828,0.0,1.0
23,direction,0.9964236287017585,0.00047096430924159667,0.0,1.0
0,acceleration,0.8001000969337901,0.04019829827182474,0.0,1.0
1,acceleration,0.8907083504751577,0.017477030553060446,0.0,1.0
2,acceleration,0.9268736047967696,0.012619070155708352,0.0,1.0
3,acceleration,0.9110819283793763,0.012897510035242839,0.0,1.0
4,acceleration,0.9345886807009313,0.009221452269258126,0.0,1.0
5,acceleration,0.9697793935029935,0.006690635336419079,0.0,1.0
6,acceleration,0.973779457654451,0.006064049682488703,0.0,1.0
7,acceleration,0.9777924531379881,0.00505988688075161,0.0,1.0
8,acceleration,0.9844572067414911,0.0021697484201790643,0.0,1.0
9,acceleration,0.9840807121347904,0.0022659153996668477,0.0,1.0
10,acceleration,0.9844202022124815,0.0039710642429307335,0.0,1.0
11,acceleration,0.9865617776374658,0.002471840408788343,0.0,1.0
12,acceleration,0.9885776417796901,0.0017246858261448833,0.0,1.0
13,acceleration,0.9884281559098158,0.002979373293702296,0.0,1.0
14,acceleration,0.9890659595542155,0.0020380841796362173,0.0,1.0
15,acceleration,0.9891380393080335,0.001989796798086724,0.0,1.0
16,acceleration,0.9895827524006707,0.0015906778569531666,0.0,1.0
17,acceleration,0.9898155608893298,0.0009191523204899954,0.0,1.0
18,acceleration,0.9902455971181826,0.0017840222519717136,0.0,1.0
19,acceleration,0.9899975465395621,0.002773524206692482,0.0,1.0
20,acceleration,0.9895687821412331,0.0030753992721747727,0.0,1.0
21,acceleration,0.9897787894855721,0.001846204812158275,0.0,1.0
22,acceleration,0.9886781160020567,0.0022403405535215705,0.0,1.0
23,acceleration,0.9869828001584446,0.002746698401662049,0.0,1.0
