layer,probe,mean_r2,std_r2,best_lr,best_wd
0,speed,0.035932707398013686,0.06428229331518306,0.001,0.1
1,speed,0.8751459811200105,0.050836571073659687,0.001,0.1
2,speed,0.7285345264565463,0.12973494171338923,0.001,0.1
3,speed,0.8341410735347192,0.07526845114256266,0.001,0.1
4,speed,0.804610209158094,0.05419004678068408,0.001,0.1
5,speed,0.8928712036067817,0.040298908677182846,0.001,0.1
6,speed,0.9439781394999778,0.02123088164014278,0.001,0.1
7,speed,0.923305456170748,0.0332366082808381,0.001,0.1
8,speed,0.9045907909585551,0.05604338616014201,0.001,0.1
9,speed,0.949855780802258,0.008725342004087226,0.001,0.1
10,speed,0.9211329246265214,0.0253905198278845,0.001,0.1
11,speed,0.9216894868537705,0.025343417474279577,0.001,0.1
12,speed,0.891303768664147,0.07435060460824584,0.001,0.1
13,speed,0.9252342055720255,0.02662471725522204,0.001,0.1
14,speed,0.8561942541033873,0.07870538217774894,0.001,0.1
15,speed,0.820632253088692,0.11749667881305824,0.001,0.1
16,speed,0.8970550877044988,0.04279077018939761,0.001,0.1
17,speed,0.8276728926575568,0.14196699127032594,0.001,0.1
18,speed,0.780694747521123,0.19367387331384528,0.001,0.1
19,speed,0.7731139135685846,0.21345422137940276,0.001,0.1
20,speed,0.868258562286779,0.15689292796876433,0.001,0.1
21,speed,0.8387693989307334,0.1093302229976824,0.001,0.1
22,speed,0.8226861065955123,0.13952355997529053,0.001,0.1
23,speed,0.848096363514672,0.12100787302874798,0.001,0.1
0,direction,-0.30014519246893734,0.18941692183917233,0.001,0.1
1,direction,0.395856687357238,0.08159964677449946,0.001,0.1
2,direction,0.6587412073227313,0.052886611643534705,0.001,0.1
3,direction,0.6727858529945894,0.0905029432452136,0.001,0.1
4,direction,0.6582490383860826,0.11504099919932131,0.001,0.1
5,direction,0.825104558401803,0.0445913025242847,0.001,0.1
6,direction,0.9181959872667845,0.02556007344705551,0.001,0.1
7,direction,0.9331027250313202,0.009914146910271619,0.001,0.1
8,direction,0.9547405948003074,0.014055162244262632,0.001,0.1
9,direction,0.9417753133652924,0.011243411831877131,0.001,0.1
10,direction,0.9198965850756489,0.016098397136990062,0.001,0.1
11,direction,0.9400365628178594,0.015763567883703818,0.001,0.1
12,direction,0.8620319567112473,0.05620469061200311,0.001,0.1
13,direction,0.9162156235222361,0.01578023670488033,0.001,0.1
14,direction,0.8653574914508768,0.05173913686290704,0.001,0.1
15,direction,0.9129363883519483,0.051060848056954176,0.001,0.1
16,direction,0.9000922878201114,0.03212611057887508,0.001,0.1
17,direction,0.8857698267109037,0.036114576105912906,0.001,0.1
18,direction,0.8013269020218319,0.21127916695721483,0.001,0.1
19,direction,0.7558796837493673,0.23591007096224156,0.001,0.1
20,direction,0.8338669243820727,0.11702558839853083,0.001,0.1
21,direction,0.6861200705078967,0.2696045984586944,0.001,0.1
22,direction,0.8205524352583993,0.13010397517167538,0.001,0.1
23,direction,0.7857781706247147,0.17437561575314356,0.001,0.1
0,acceleration,-0.11097297103670378,0.09603925042722379,0.001,0.1
1,acceleration,0.709323568593373,0.09369671964637961,0.001,0.1
2,acceleration,0.7782587803117608,0.05558401208047458,0.001,0.1
3,acceleration,0.8193328608734927,0.11363976049965037,0.001,0.1
4,acceleration,0.7958610036919017,0.07931024040640403,0.001,0.1
5,acceleration,0.8654223093566342,0.041543104378497085,0.001,0.1
6,acceleration,0.9062413064255564,0.015430558932203655,0.001,0.1
7,acceleration,0.9155437045732255,0.015197659347116357,0.001,0.1
8,acceleration,0.9118048666464882,0.031537807840390446,0.001,0.1
9,acceleration,0.9177939178146618,0.054731010583456294,0.001,0.1
10,acceleration,0.8841651828673576,0.0366466413024953,0.001,0.1
11,acceleration,0.898443829100591,0.06469573219079888,0.001,0.1
12,acceleration,0.8690328418710118,0.05387119342058771,0.001,0.1
13,acceleration,0.8774117101938519,0.041727232633434135,0.001,0.1
14,acceleration,0.8697649739035069,0.09633024047197412,0.001,0.1
15,acceleration,0.9296726714039552,0.024857151919815045,0.001,0.1
16,acceleration,0.9075333126221654,0.05950684614977923,0.001,0.1
17,acceleration,0.82933165831898,0.1395704118894166,0.001,0.1
18,acceleration,0.6534401414716171,0.28931556277593845,0.001,0.1
19,acceleration,0.7976196419029675,0.06223645355250457,0.001,0.1
20,acceleration,0.806431005935092,0.19325545836222535,0.001,0.1
21,acceleration,0.8766817011630736,0.007851806893849188,0.001,0.1
22,acceleration,0.8569536126630762,0.030495131179578007,0.001,0.1
23,acceleration,0.8369196522371245,0.050810476135534376,0.001,0.1
