layer,r2_mean,r2_std
0,-11.968150579929352,12.504430483672403
1,-3.0156943619251253,2.1910049784752146
2,-0.5245295941829682,0.8844975134222378
3,-0.48886186480522154,0.6426021580690799
4,-0.47604005336761473,0.52030057056598
5,-0.5866178184747696,0.5924667446583793
6,-0.2506806910037994,0.36741479533719795
7,-0.30462500751018523,0.385749507495842
8,-0.32524143159389496,0.39591529255402114
9,0.4635794147849083,0.12122475980986626
10,0.3642237976193428,0.1618144499638081
11,0.10858385562896729,0.2938157373444667
12,0.5242381528019905,0.13055056028293863
13,0.47846470922231676,0.152916227163877
14,0.3446050524711609,0.22265025897212193
15,0.3625215426087379,0.21460528703509635
16,0.19689432829618453,0.3151978599342468
17,0.09717970043420791,0.27291254817782057
18,-0.010446649789810181,0.38915504944443147
19,-0.039109745621681215,0.35370109939271105
20,-0.06472244262695312,0.4206463691039744
21,-0.09723348915576935,0.47644897949749077
22,-0.04865503758192062,0.49191818025764805
23,-0.12930862605571747,0.5836660520365049
