layer,r2_mean,r2_std
0,-16.969787549972533,10.71036935278953
1,-2.383241319656372,2.6391539745782104
2,-0.16547811031341553,0.39381371524890446
3,0.18196187019348145,0.19106084394158385
4,0.15251641273498534,0.19301595859803702
5,0.29162532091140747,0.18700603168074992
6,0.3904540538787842,0.14778414512779992
7,0.3725625514984131,0.11788725688790654
8,0.37064898014068604,0.15050142661598442
9,0.7395210087299346,0.07024776404292656
10,0.7334345787763595,0.06513829426140802
11,0.6585554748773574,0.0789320277091351
12,0.8166493117809296,0.036323142908782045
13,0.8059379607439041,0.032128343404744526
14,0.7482845813035965,0.027017420165825562
15,0.7308563858270645,0.0608481312767369
16,0.6955869853496551,0.04400255020833218
17,0.6590490877628327,0.052595770607728326
18,0.6372640371322632,0.03575987023112682
19,0.6396281957626343,0.05973912441586207
20,0.6658594012260437,0.01959997408990012
21,0.6565085053443909,0.029311759530157563
22,0.6867282748222351,0.02973392977933158
23,0.7061225026845932,0.04696063275748195
